Recipient.Organization,Appealing.Agency.NATIONAL.INTERNATIONAL,donorCount,totalContrib,countryCount
Mission Aviation Fellowship,,1,10251968,1
Mission East,International NGO,1,5610110,1
Mission Enfance,International NGO,1,12987,1
Mission Ost - DNK,Undefined,1,2231547,3
Missionnaires du Divin Maître,,1,690900,1
Missionsärztliches Institut Würzburg,,1,38874,1
Missionszentrale der Franziskaner e.V.,,1,1410599,1
Mobilink Foundation,,1,2776470,1
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,,1,324705,1
MOJAZ Foundation,National NGO,1,90720,1
Mongolian Red Cross,,2,268428,1
Moroccan Red Crescent,,1,0,1
Mother and Children Development Aid,,1,100000,1
Mouvement non violent syrien,International NGO,1,190476,1
"Movimiento por la Paz, el Desarme y la Libertad",International NGO,2,574386,2
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",International NGO,1,212164,1
Mozambique Red Cross Society,,1,34826,1
MSD-DK,,1,383584,1
Mubadiroon Organisation,,1,1455615,1
Mubarak for Relief and Development Organization,National NGO,1,804575,1
Muhammadiyah,,1,97943,1
Mulrany International,,2,2302936,2
Muslim Aid,International NGO,6,29248379,7
Myanmar NGO Contingency Plan Steering Committee,National NGO,1,53744,1
Myanmar Red Cross Society,,3,279000,1
Nachbar in Not,,1,56022,1
Nærings- og Handelsdepartementet,,1,550540,1
Nahda Makers Organization,National NGO,1,170001,1
Nahdlatul Ulamu,,2,296401,1
Namibia CARES Movement,Undefined,1,7223,1
Nathan Associates,,1,250000,1
National Commission for Human Development,,1,20000,1
National Federation of UNESCO Association in Japan,National NGO,1,120726,1
National Foundation for Development and Human Rights,,1,228057,1
National Institution of Social Care & Vocational Training,National NGO,1,238189,1
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),National NGO,1,203274,1
National Integrated Development Agency,National NGO,1,80000,1
National Primary Health Care Development Agency,,1,500000,1
National Relief Committee,,1,2025996,1
National Rural Support Programme,,1,499433,1
National Society for Earthquake Technology,,1,6321038,2
National Society for Rehabilitation,,1,171193,1
National Space Agency of Ukraine,,1,1044080,1
Natures Way,,1,107411,1
Nawayee Rehabilitation and Development Organization for Afghan Women,,1,479274,1
NCA+partners,,1,444126,1
Near East Foundation,,2,5964307,3
Nehemia Christenhilfsdienst e.V.,International NGO,1,1159625,4
Neighborhood Disaster Volunteers,,1,330761,1
Neighbors Initiative Alliance,Local NGOs,1,621106,1
Nepal Red Cross Society,,1,225000,1
Netherlands Red Cross,,4,45838193,24
NetHope,International NGO,2,2050265,2
Network on Humanitarian Assistance,,1,2777141,1
New Consultancy and Relief Organization,,1,925617,1
New Zealand Red Cross,,4,6589096,5
Ngazi Moja Foundation,,1,24333,1
NGO Consortium,Undefined,3,10690857,4
NGO Coordination Committee for Iraq,International NGO,1,946506,1
NGO FORUM,Undefined,1,221729,1
NGO Mondo,International NGO,1,116136,1
NGO Safety Program,National NGO,1,133929,1
NGO Security Programme,Undefined,2,14192858,2
NGOs (details not yet provided),Undefined,74,1434515984,37
NGOs; Red Cross/Red Crescent (details not yet provided),,3,868775,3
Nicaraguan Red Cross,,3,627519,1
Nigerian Red Cross Society,,1,315259,1
Nile Hope,National NGO,4,10554022,2
Nile Hope Development Forum,,1,145145,1
Niños de la Tierra,,1,53470,1
Nippon International Cooperation for Community Development,International NGO,3,3719845,5
NIRAS,,1,9469561,1
Nomadic Assistance for Peace and Development,,2,781001,1
Nomads Development and Environmental Conservation,,1,303120,1
Non-Aligned Movement Institute for the Empowerment of Women,,1,8063,1
Non Violent Peace Force ,International NGO,2,1008565,1
Nonviolent Peaceforce,International NGO,5,7884578,1
Noon Charity Organization,Undefined,1,23281,1
Noor Al Hussein Foundation,,3,1503626,2
Norges Geotekniske Institutt,,1,1168002,2
Norsk Ressursbank for demokrati og menneskerettigheter,,1,4071741,2
Norsk senter for menneskerettigheter,,1,20097607,6
Norske PEN,,1,2039250,2
North-South Institute,,1,24724,1
North Atlantic Treaty Organization,,1,259740,3
Northern Aid,Local NGOs,1,150000,1
Norwegian Afghanistan Committee,National NGO,1,899401,1
Norwegian Aid Committee,,1,25406155,5
Norwegian Medical Association,,1,176987,1
Norwegian People's Aid,International NGO,10,159377211,27
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,National NGO,1,1567706,1
Norwegian Red Cross,,3,218523901,23
Norwegian Refugee Council,International NGO,21,781671966,34
Norwegian Search and Rescue,,1,111613,1
NOVIB,Affiliated National NGO,1,1264581,2
NU,,1,96585,1
"Nuba Mountain Relief, Rehabilitation and Development Organization",Local NGOs,1,100000,1
Nuba Mountains International Association for Development,Local NGOs,1,281500,1
Nuer Peace Council,Local NGOs,1,95099,1
NUPI - Norsk utenr.pol. inst. ,,1,778944,1
Nyein (Shalom) Foundation,,1,167501,1
Objectif Tiers Monde,National NGO,1,1458107,1
Oeuvre d'Orient,International NGO,1,202930,1
Office for the Coordination of Humanitarian Affairs,,76,1266025269,42
Office of the High Commissioner for Human Rights,,12,64272982,13
Office of the Humanitarian Coordinator,,17,21597313,1
Oficina Panamericana de la Salud ,,1,142736,1
Òganizasyon Fanm tou Nèf Balan,,1,213787,1
OIKOS - Intercooperação e Desenvolvimento ,International NGO,1,4811047,4
Omega Plus,,1,18648,2
ONG Actions,,1,273595,1
ONGD - FNEL,,1,57823,1
Open Society Foundations,,1,10593,1
Open Society Institute Assistance Foundation,,1,528564,1
Operation Blessing International,International NGO,1,0,1
Operation Helping Hand of Tampa,,1,25000,1
Operation Mercy,International NGO,1,73272,1
Operation Save Innocent Lives,National NGO,1,58934,1
Operation USA,International NGO,4,1129000,3
Organisation for Economic Co-operation and Development,,3,613470,2
Organisation for Mine Awareness and Reconstruction,,1,4537757,1
Organisation Marocaine Des Droits de l'homme,National NGO,1,75796,1
Organisation of Rural Associations for Progress,,1,149532,1
"Organization for Refuge, Asylum and Migration",,1,108000,1
Organization for Security & Cooperation in Europe,,1,118365,2
Organization for Social Development Initiatives,National NGO,1,197167,1
Organization of American States,,3,2810597,2
Oslo Coalition on Freedom of Religion or Belief,,1,35457,1
Oslosenteret for fred og menneskerettigheter,,1,48387,1
Ottawa Convention Sponsorship Programme,,1,1455362,1
Overseas Development Institute,,8,7621397,2
OXFAM,International NGO,19,64904383,18
OXFAM America,International NGO,10,20297588,9
OXFAM Australia,International NGO,1,949358,3
OXFAM Belgium,International NGO,4,52097085,15
OXFAM Canada,International NGO,2,22941686,11
OXFAM GB,International NGO,27,559513311,51
OXFAM International,International NGO,12,28907328,18
OXFAM Ireland,International NGO,1,1671492,3
Oxfam Italia,International NGO,3,13554181,2
OXFAM Netherlands (NOVIB),International NGO,8,31521190,8
OXFAM Quebec,International NGO,2,23605178,11
Oxford Research Group,,1,852156,1
Oxford University,,1,157185,1
PA_05,,1,281690,1
Pact Inc.,,1,9000000,2
PAIMAN Alumni Trust,,1,935937,1
Pain Pour Les Déshérités (PPLD),,1,318764,1
Pak Rural Development Program,,1,330976,1
Pakistan Association  in Dubai,,1,130192,1
Pakistan Humanitarian Forum (consortium),International NGO,1,461693,1
Pakistan Red Crescent Society,,8,50205692,1
Pakistan Village Development Program,Local NGOs,1,529276,1
Palau Red Cross Society,,1,100000,1
Palestinakomiteen i Norge,International NGO,1,1313334,1
Palestine Red Crescent Society,,1,53333333,1
Palestinian Agricultural Relief Committees,National NGO,2,1039122,1
Palestinian Al Nakheel Association for Progress and Development,National NGO,1,438240,1
Palestinian Association for Development and Reconstruction,National NGO,1,118684,1
Palestinian Center of Organic Agriculture,National NGO,1,476321,1
Palestinian Environmental Friends,National NGO,1,208372,1
Palestinian Farmers Association,,1,203500,1
Palestinian Hydrology Group,National NGO,1,1296451,1
Palestinian Medical Relief Society,National NGO,1,249845,1
Pan-American Health Organization (World Health Organization),,11,24198490,14
Pan American Development Foundation,,5,13674305,1
Panhealth Care Organization,,1,935041,1
PAP,,1,2107488,1
Papua New Guinea Red Cross Society,,2,150000,1
PARCIC,International NGO,2,465370,2
Participatory Educational Awareness and Community Empowerment,,1,504413,1
Participatory Integrated Development Society,National NGO,1,257040,1
Participatory Rural Development Society,National NGO,1,592534,1
Partner Aid International e.V.,International NGO,3,1295269,2
Partners in Health,International NGO,26,54669285,4
Partnership Africa Canada,International NGO,1,550966,1
Partnership Center for Development and Democracy,National NGO,1,60189,1
Partnership for Pastoralists Development Association,,1,136983,1
Pastoral Social,,1,230108,1
Pastoralist Consultants International,,1,337635,1
Pastoralist Development Organization,,2,277526,1
Pastoralist Integrated Support Programme,Undefined,1,150000,1
Patient Friendly Society,,1,27473,1
Pattan Development Organization,National NGO,1,241230,1
PCPM - Polish Center for International Aid,,4,4411136,8
Peace Action Society Organisation for Somalia,National NGO,2,1216894,1
Peace and Development Organization,International NGO,1,998278,1
Peace Bridge Association,National NGO,1,200040,1
Peace Building Fund,,1,795756,1
Peace Corps,,1,323150,1
Peace Corps Organization,,2,2590076,2
Peace Winds Japan,International NGO,2,6027880,5
PEGASE,,1,5343253,1
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,,1,99459,1
Pema Medical Charity,,1,23611,1
PEN International,,1,243362,1
People in Aid,International NGO,1,165603,1
People in Need ,National NGO,8,17633340,14
Peoples Democracy Platform,,1,540216,1
Peoples Empowerment and Consulting Enterprise,National NGO,1,368443,1
Perkumpulan Paluma Nusantara,,1,65933,1
Perspectives pour la Santé et le Développement,,1,1395531,1
Petits Frères et Soeurs,,1,100000,1
Pharmaciens et Aide humanitaire,,2,1404952,2
Pharmaciens sans Frontières (France),International NGO,1,17244,1
Pharmaciens sans frontières (PSF),International NGO,1,152511,1
Philani Maswati Organization,,1,20000,1
Philippine Business for Social Progress,,1,1582278,1
Philippine Jesuit Foundation,,1,30000,1
Philippine Red Cross ,,11,3678843,1
Physicians Across Continents,SINGO,1,5589140,1
PIDAD,,1,296000,1
PIPA,,1,52440,1
Plan Benin,Affiliated National NGO,1,641179,2
Plan Canada,International NGO,1,3388719,3
Plan Indonesia ,Affiliated National NGO,1,136990,1
Plan International,International NGO,19,104048323,32
Plan Ireland,International NGO,2,4717215,10
Plan Liberia,Affiliated National NGO,1,75000,1
Plan Mali,Affiliated National NGO,2,1505639,1
Plan Niger,Affiliated National NGO,1,301609,1
Plan Norge,International NGO,1,170800,1
Plan Sudan,Affiliated National NGO,5,4708366,1
Plan Sweden,International NGO,2,8258150,14
Plan UK,International NGO,1,825982,3
Plan USA,International NGO,1,6035734,4
Planete Urgence,International NGO,1,1430219,1
"Planned Parenthood Federation, International",,1,500000,1
PMU-Interlife,International NGO,3,4671040,3
Polish Humanitarian Action,International NGO,4,9566973,6
Polish Humanitarian Organisation,International NGO,1,569801,1
Population Services International,International NGO,3,2117403,4
Pour une Syrie libre,International NGO,1,204626,2
Poverty Eradication Initiative,,1,147060,1
Practical Action (formerly Intermediate Technology Development Group),International NGO,3,9466648,5
Praktisk Solidarites,International NGO,1,6341790,1
Premiere Urgence,International NGO,10,62760199,14
Première Urgence - Aide Médicale Internationale,International NGO,11,99100753,19
PREPARED,,1,473056,1
PRIMA SYNERGIE,,2,425747,1
Prime Foundation,,1,353871,1
"PRIO - International Peace Research Institute, Oslo",,1,1676901,1
Private (individuals & organisations),,22,31218515,36
Private Agencies Collaborating Together,,2,2357866,2
"Pro Pac, Inc.",,1,137841,1
Programa de Reducción del Riesgo de Desastres,,1,1522472,1
Programme de Promotion de Soins de Santé Primaires (PPSSP),National NGO,1,1449081,1
Progressio,International NGO,1,823104,1
Progressive Interventions,,1,2865,1
Project Concern International,International NGO,2,21807408,5
Project HOPE,International NGO,2,200000,2
PROMAN,,1,1053898,1
PROMARK,,1,232000,1
Promoting Recovery in Zimbabwe,,1,14830000,1
Protecting Through Education,International NGO,1,150000,1
Provea - Venezolano de Educación-Acción en Derechos Humanos,International NGO,1,25641,1
Proximity Designs (formerly International Development Enterprises),,1,1876493,1
Public Health Initiative Liberia,,1,76275,1
Purpose Foundation,,1,211864,1
Qatar Charity,SINGO,5,5132159,4
Qatar Red Crescent Society,,4,88404531,18
"QED Limited, LLC",,1,1250000,1
Quaker United Nations Office,International NGO,1,302173,1
Questscope,International NGO,2,536957,2
Rabbis for Human Rights,,1,34436,1
Radanar Ayar Association,International NGO,1,864110,1
Raf-Thani Foundation,,1,1157967,1
Rahma Islamic Relief Fund,National NGO,1,850252,1
Rainwater Association of Somalia,,1,169102,1
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,,1,331164,1
Raqeep Organization for Human Rights,National NGO,1,316727,1
Rasawad Welfare Association,,1,2287924,1
RDN,,1,307903,1
Reach Out Initiative,International NGO,1,355809,1
Reach Vulnerable,,1,2568874,1
Rebatisseurs de la muraille des oeuvres de Dieu,Undefined,1,200000,1
Rebuild and Relief International NGO gGmbH,,1,529339,1
Red Crescent Society of Kyrgyzstan,,2,721128,1
Red Crescent Society of Tajikistan,,1,50136,1
Red Crescent Society of the Islamic Republic of Iran,,4,1517968,4
Red Crescent Society of the United Arab Emirates,,3,155726196,33
Red Crescent Society of Uzbekistan,,1,120000,1
Red Cross of Chad,,1,50000,1
Red Cross of Montenegro,,1,150000,2
Red Cross of Serbia,,1,200000,1
Red Cross of the Democratic Republic of the Congo,,3,434784,2
Red Cross of Viet Nam,,3,639330,2
Red Cross Society of Bosnia and Herzegovina,,1,98866,1
Red Cross Society of China,,5,1379325,3
Red Cross Society of the Republic of Moldova,,1,12725,1
RedR,International NGO,3,8280869,4
RedR UK,,4,1786702,4
Refugee Consortium of Kenya,National NGO,1,25575,1
Rehabilitation and Research Centre for Torture Victims,International NGO,1,123528,1
Rehabilitation International,International NGO,1,173926,1
Relief International,International NGO,8,55391947,16
Relief Pakistan,SINGO,1,124537,1
René Moawad Foundation,National NGO,1,215428,1
Reporters Sans Frontières,International NGO,1,69525,1
Rescue South Africa,SINGO,1,250000,2
Research Council of Norway,,1,1253531,1
Reseau des Entrepreneurs Solidaires,,1,4912155,4
Resident Coordinators Support Office,,2,1450354,2
Response International,International NGO,1,1377386,1
RESTART,,1,810507,2
Results Japan,,1,219216,1
RHA,,1,1162358,1
Right to Play,International NGO,1,6165759,11
Riverine Relief Program,,1,114987,1
Roshni Development Organization,National NGO,1,230094,1
Rotary Fiji,,1,150000,1
Royal Health Awareness Society,National NGO,1,333882,1
RTI,,1,250000,1
Ruedi Leuppi Stiftung Elfenbeinküste,,1,1980565,1
Rufaida Health Foundation,,1,1096868,1
Rural Agency for Community Development and Assistance,Local NGOs,1,311838,1
Rural Capacities Development Committee,,1,1144893,1
Rural Centre for Sustainable Development,,1,498287,1
Rural Development Initiative Pakistan,Undefined,1,231714,1
Rural Development Project,,1,479679,1
Rural Empowerment and Institutional Development,,1,107569,1
Rural Support Programmes Network,,1,4658385,1
Rural Water and Sanitation Support Agency,,1,125000,1
SAACID,International NGO,1,267803,1
Sabou Guinee,National NGO,1,45553,1
Sad Africa,Undefined,1,322604,1
Safa Marwa Relief and Development Organization,,1,343070,1
SAFDF,,1,207138,1
Saferworld,International NGO,1,1289214,1
Sage Organisation,Undefined,1,513565,1
SAH - Schweizerisches Arbeiterhilfswerk,International NGO,1,1047216,2
Sahkar Dost Welfare Association,Local NGOs,1,66065,1
Salama Medical Agency,,1,144360,1
Salesian Missions,,1,871297,3
Salvadorean Red Cross Society,,1,679607,5
Salvation Army,International NGO,6,3528303,6
SAM - Schweizer Allianz Mission,International NGO,1,55653,1
Sama Al-Yemen Development Foundation,National NGO,1,231281,1
Samaritan's Purse,International NGO,7,53298046,13
Samenwerkende Hulporganisaties,International NGO,2,78633983,3
Samerådet,,1,707557,1
Sametinget,,1,1197914,1
Samir Kassir Foundation,,1,94583,1
Samisk Høgskole,,1,20101,1
Samoa Red Cross Society,,1,150000,1
Sangtani Women Rural Development Organization,Local NGOs,1,349900,1
Sanitary of Epidemiological Station,,1,49723,1
Sant''Egidio,,1,100544,1
Santé Diabète,International NGO,1,136001,1
Santé Mali Rhône Alpes,International NGO,1,166230,1
Santé pour le Développement et la Stabilité d’Haïti,International NGO,1,800000,1
Sante Sud,International NGO,1,196335,1
Sarhad Rural Support Programme,National NGO,1,149516,1
Sarvodaya Shramadana Movement,National NGO,1,2316740,1
Sath Development Organization,National NGO,1,172238,1
Satunama,National NGO,1,99500,1
Saúde em Português,International NGO,1,718826,1
Saudi Arabian Red Crescent Society,,1,400000,2
Save and Serve,Undefined,1,82222,1
Save Somali Women & Children,National NGO,1,1857004,1
Save the Children ,International NGO,66,1095412426,69
Sawa Organization,National NGO,1,50959,1
Search for Common Ground,International NGO,5,3149648,5
Second Harvest Japan,,1,250000,1
Secours Catholique et Développement,International NGO,3,3563855,9
Secours Islamique,International NGO,4,1118002,4
Secours Islamique France,International NGO,5,3750304,5
Secours Populaire Francais,International NGO,1,187639,2
SEEMA Center for Training and Protection of Women and Child's Rights,National NGO,1,101019,1
Senter for Krisepsykologi,,1,27318,1
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",,1,992525,2
Serve Pastoralist International,International NGO,1,154488,1
Service Health Relief Development Organization,,2,174640,1
Sewa Development Trust Sindh,,1,215600,1
Sewa Lanka Foundation,,1,469043,1
Sewalanka,National NGO,2,2380801,1
SFCG/RDC,Affiliated National NGO,2,1384563,1
Shafaq Rehabilitation Organization (SHA),,1,445155,1
Shah Sachal Sami Foundation,National NGO,1,141372,1
Shahrukhi Rehabilitation Project,National NGO,1,74813,1
Shanti Volunteer Association,International NGO,1,2825732,3
SHARE,,1,571378,2
Share our Strength,,1,125000,1
Sharek Youth Forum ,National NGO,1,390105,1
Sharukhi Rehabilitation Project,,1,860347,1
SHASSMEPPE,National NGO,1,175032,1
Sheikh Thani bin Abdullah Foundation for Humanitarian Services,,1,2269117,4
Shelter for Life,International NGO,1,2024910,1
ShelterBox,International NGO,1,750000,1
Shifa Foundation,,1,1244913,1
SHIFT,,1,354005,1
Shilale Rehabilitation and Ecological Concern,National NGO,1,229720,1
Shining Light Community Development Organization,National NGO,1,235626,1
Sibro Organization for Development,National NGO,1,162965,1
Sign of Hope,International NGO,1,62500,1
Sindh Agriculture and Forestry Workers Cooperation Organization,,1,99745,1
Sindh Radiant Organisation,,1,245866,1
Singapore Red Cross Society,,2,211681,2
Siriri,,1,90245,1
Skills Active Forward,International NGO,1,473626,1
SKUPAJ,,1,227764,1
Slovenian Red Cross,,1,100000,1
Small Arms Survey,,2,1574891,1
Social and Humanitarian Assistance Organization,,1,360522,1
Social Economical Environmental Developers ,,1,177442,1
Social Humanitarian Economical Intervention for Local Development,National NGO,1,348500,1
Social Impact,International NGO,1,335618,1
Social Life and Agricultural Development Organisation,National NGO,2,2923508,1
Social Services Program,,1,69999,1
Social Solidarity Organisation,,1,290000,1
"Social, Humanitarian, Economical Intervention for Local Developmen",National NGO,2,2183930,1
"Société Générale de Solidarité, S.A.",,1,300000,1
Société Kolping,International NGO,1,667335,1
Society Development Initiative Organization,,1,182880,1
Society for Awareness and Change,,1,101109,1
Society for Community Development,National NGO,1,495122,1
Society for Conservation and Protection of Environment,,1,199925,1
Society for Human and Institutional Development,National NGO,1,1605780,1
Society for Human Emancipation and Development,,1,249009,1
Society for Humanitarian Solidarity,National NGO,1,981885,1
"Society for Skills, Trainings & Development",,1,377069,1
Society for Sustainable Development,,1,1206254,1
"Society for the Advancement, Community, health, Education and Training",National NGO,1,69720,1
SODI - Solidaritätsdienst-International ,International NGO,1,5685996,3
Solidar,International NGO,2,3270599,4
Solidaridad Internacional,,5,11878969,5
Solidarité Féminine pour la Paix et le Développement Intégral,National NGO,1,77220,1
Solidarité Syndicale - Luxembourg,International NGO,1,31766,1
Solidarites-Belgium,International NGO,1,756534,1
Solidarites-France,International NGO,4,13128099,5
Solidarités International,International NGO,17,206364950,26
Solidarity Group of Jubbaland,National NGO,2,767075,1
Solidarity Organization for Rehabilitation of Afghanistan,,1,39270,1
Solidarmed,International NGO,1,1464519,1
Solo Enviro Beautification,National NGO,1,46382,1
Solomon Islands Red Cross,,2,478380,1
Somaction,International NGO,1,757975,1
Somali Aid Foundations,National NGO,1,742867,1
Somali Community Concern,National NGO,1,300000,1
Somali Community Development Foundation,National NGO,1,100833,1
Somali Development and Rehabilitation Organisation,National NGO,1,659113,1
Somali Humanitarian Aid and Development Organization,National NGO,3,2110397,1
Somali Organic Agriculture Development Organization,,2,323402,1
Somali Relief and Development Action,National NGO,1,225497,1
Somali Relief and Development Society,National NGO,1,730495,1
Somali Transformation Group,National NGO,1,318892,1
Somali Young Doctors Association,,2,1226067,1
Somali Youth for Peace and Development,National NGO,1,1208823,1
Somalia Relive Centre,,1,1100531,1
SomaliAid,National NGO,1,243381,1
Somaliland community development Organization,National NGO,1,79970,1
Soroptimist International,,1,400254,1
Soryiat,,1,293513,2
SOS Children's Villages,International NGO,2,1482094,2
SOS Kinderdorf,International NGO,3,9695194,4
SOS Sahel International,International NGO,4,988058,3
SOS Villages d'Enfants,International NGO,1,1971028,6
Soul for Development,National NGO,1,250008,1
Soul of Haiti,International NGO,1,250941,1
South Sudan Development Agency,International NGO,1,792887,1
Southern Aid,,1,934435,1
Southern Alliance for Indigenous Resources,SINGO,2,366176,1
Sovereign Military Order of Malta,International NGO,2,66698,2
Spanish Association for Humanitarian Medicine,,1,317443,1
Spanish Red Cross,,5,46090781,27
Specially Designated Contributions (OCHA),,28,25113219,1
SPHERE,,4,1314681,1
Sports and Cooperation Network,International NGO,1,286123,1
Sri Lanka Red Cross Society,,1,50000,1
SSA Marine,,1,420002,1
St. Boniface Haiti Foundation,,2,195000,1
St. Damien Hospital,,1,20000,1
St. John Eye Hospital,,3,780412,1
Standard Action Liaison Focus,,1,134239,1
Statens Forurensningstilsyn,,1,438831,1
"Stavanger kommune, Sølvberget KF Bibl.og kul",,1,92132,1
STC-NOR,International NGO,1,523054,1
STC SW,,1,2425610,2
STCH,,1,1051896,2
Stichting CARE Nederland,International NGO,1,13261471,7
Stichting Vluchteling,,1,12021069,3
"Stiftelsen barn og krig, Children and War",,1,170940,1
Stiftelsen for en kritisk og uavhengig presse,,1,64017,1
Stiftelsen Litteraturhuset,,1,10850,1
Stiftelsen Oljeberget,,1,1850752,1
Stiftung des deutschen Instituts für Katastrophenmedizin,,1,128436,1
Stiftung Deutsche Welthungerhilfe,,1,1407271,1
Stiftung Kasipiti,,1,107618,1
Stiftung St. Barbara,,1,2224836,1
Stitching War Child,International NGO,2,1836821,2
Stockholm International Peace Research Institute,,2,579809,2
Street Children Aid,National NGO,1,221285,1
Strengthening Participatory Organization,,1,544081,1
Studentenes og Akademikernes Internasjonale Hjelpefond,,1,500113,2
Sub-Saharan International Development Organization,,1,192215,1
Sudan Aid,National NGO,1,400000,1
Sudan Integrated Mine Action Service,National NGO,1,987072,1
Sudan Medical Care,Local NGOs,2,5654505,2
Sudan Open Learning Organisation,National NGO,1,2398446,1
Sudan Social Development Organization ,International NGO,1,104927,1
Sudanese Development Call Organization,National NGO,1,1754150,1
Sudanese Development Relief Agency,,1,325000,1
Sudanese Red Crescent,,2,3328487,1
Sudanese Women's General Union,National NGO,1,575000,1
Sungi Development Foundation,,1,514649,1
Supply Chain Management System,,1,780032,1
Support Agency for Rural & Human Association's Development,,1,136081,1
Support for Peace and Education Development Program,,8,1267621,1
SurfAid,International NGO,2,2037136,1
Survivor Corps,International NGO,1,644891,1
Sustainable Action Group,,1,659973,1
Sustainable Heath Development Centre,,1,88277,1
Suvannimit Foundation,,1,112688,1
Suwannimit Foundation,,1,198966,1
Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,,2,2842262,1
Swedish Christian Council,International NGO,1,2139003,1
Swedish Civil Contingencies Agency (MSB),,3,134001807,66
Swedish Committee for Afghanistan,International NGO,1,700000,1
Swedish Cooperative Centre,International NGO,2,6604458,2
Swedish Ecumenical Accompaniment Programme in Palestine and Israel,,3,1927002,1
Swedish Mission Council,,1,2932468,8
Swedish Red Cross ,,2,114248584,55
Swiss AIDS Care International,,1,3277544,2
Swiss Campaign to Ban Landmines,International NGO,1,137766,1
Swiss Development Cooperation/Swiss Humanitarian Aid,,1,130782359,51
Swiss Foundation for Mine Action / Organisation for Security and Cooperation in Europe,,2,4180565,2
Swiss Red Cross,,3,5080897,9
Swiss Solidarity,,1,36062378,1
SWISSAID,International NGO,1,2105775,2
Swisscontact,,1,1047348,1
SWISSO - Kalmo,International NGO,1,2353439,1
Syria Sanad,International NGO,1,262794,1
Syrian Arab Red Crescent,,6,4298694,2
Tadamun Social Society,National NGO,1,200000,1
Taghyeer,,1,13000,1
Taiwan Tzu-chi Foundation Malaysia,,1,121053,1
Talawiet Organization for Development,,1,500000,1
Tameer-e-Khalaq Foundation,,1,99702,1
Tamer Institute for Community Education,,1,96676,1
Tanad Relief and Development Organisation,National NGO,2,449629,1
Taraqee Foundation,,1,727089,1
TASSAGHT,,1,238007,1
Tawsol Al Amal Charity Organization,National NGO,1,150000,1
TEARFUND,International NGO,19,74531551,10
Technisches Hilfswerk (THW),,3,44808734,13
Techno Plan,,2,254146,1
Tehreek,,1,602961,1
Telecom for Basic Human Needs,,1,324781,2
Telecom Sans Frontieres,International NGO,4,1063250,7
Temporary International Presence in Hebron,,1,2764149,2
TERMA FOUNDATION,,1,618286,1
Terra Tech,,1,136353,1
Terre des Hommes - Germany,International NGO,1,1111079,2
Terre des Hommes - Italy,International NGO,7,21868198,10
Terre des Hommes - Lausanne,International NGO,3,871324,5
Terre des Hommes International,International NGO,10,57181195,18
TERREMOTO HAITI,,1,861178,1
Thai Red Cross Society,,9,1221362,1
Thailand Burma Border Consortium,SINGO,2,2482297,1
Thardeep Rural Development Programme,,1,246293,1
The Asia Foundation,,2,8869696,4
The Association for Women's Rights in Development,,1,592926,1
The Bridge Fund,International NGO,1,322581,1
The Christian Council of Sweden,,1,1842773,1
The Competitiveness,,1,499060,1
The Cuny Center,,1,34231,1
The Dui Hua Foundation,,1,217255,1
The Equal Rights Trust,,1,199977,1
The Family Centre,,1,454352,1
The Foundation for the Refugee Education Trust,International NGO,3,10166015,7
The Fund for Peace,,1,82413,1
The Harvard Program on Humanitarian Policy and Conflict Research,,1,898015,1
The Health Support Organization,,4,2052851,1
The Humanitarian Forum Yemen,,1,1029925,1
"The Institute of Cultural Affairs, Japan",,1,187457,1
The Jewish Federation of Metropolitan Chicago,,1,0,1
The Living History Forum,,1,3788125,1
The Rafto Foundation,,1,953600,2
The SEEP Network,,1,358419,1
The Society of the Revival of Islamic Heritage,,1,6257113,1
The Survivor Network Foundation and People with Disability,,1,189753,1
The Tibet Fund,International NGO,1,2699951,1
Thomson Foundation,,1,510252,1
Tides Center,International NGO,1,120000,1
Tomooh Association for Skills Development,,1,129149,1
Tompran Foundation,,1,161423,1
Tonga Red Cross Society,,2,136027,1
Toyota Gilbratar,,1,189763,2
Trans-Nzoia Socio-Economic Network,,1,296000,1
Transparency International,International NGO,4,1789746,4
Treatment and Rehabilitation Centre,,1,544453,1
Triangle,International NGO,2,2903220,3
Triangle Génération Humanitaire,International NGO,8,23952256,10
Tribal Reforms and Development Organization,,1,248987,1
Trocaire,International NGO,5,34630296,17
Tromsø Mineskadesenter/Tromsoe Mine Victim Resource Center,,1,6652168,4
Tufts University,,3,2597368,1
Tulane University,,1,686800,1
Tunisian Red Crescent,,2,508578,1
Turkish Red Crescent Society,,8,66405980,8
U.S. Committee for Refugees and Immigrants,,1,280093,1
Uganda Red Cross Society,,3,261139,1
Ukrainian Red Cross Society,,2,54078,1
UN Action Against Sexual Violence in Conflict,,2,1452280,2
UN Agencies (details not yet provided) ,,15,29507387,17
UN Agencies and NGOs (details not yet provided),,18,83689196,17
UN Agencies and Red Cross (details not yet provided),,2,1726002,2
"UN Agencies, NGOs and/or Red Cross (details not yet provided)",,113,706310857,62
