NAME,ADDRESS,CONTACT,NUMBER,LEA,ACCREDIT,TITLE1_P,TITLE1_F,SCH_PERC_COREUQ_13,LEA_PERC_COREUQ_13,ST_PERC_COREUQ_13,SCH_PERC_PROV_13,SCH_PERC_PROVSPED_13,LEA_PERC_PROV_13,LEA_PERC_PROVSPED_13,ST_PERC_PROV_13,ST_PERC_PROVSPED_13,SCH_PERC_BACH_13,SCH_PERC_MAST_13,SCH_PERC_PHD_13,LEA_PERC_BACH_13,LEA_PERC_MAST_13,LEA_PERC_PHD_13,ST_PERC_BACH_13,ST_PERC_MAST_13,ST_PERC_PHD_13,SCH_3_READ_ADV_13,LEA_3_READ_ADV_13,ST_3_READ_ADV_13,SCH_3_READ_PROF_13,LEA_3_READ_PROF_13,ST_3_READ_PROF_13,SCH_3_READ_PASS_13,LEA_3_READ_PASS_13,ST_3_READ_PASS_13,SCH_3_READ_FAIL_13,LEA_3_READ_FAIL_13,ST_3_READ_FAIL_13,SCH_3_MATH_ADV_13,LEA_3_MATH_ADV_13,ST_3_MATH_ADV_13,SCH_3_MATH_PROF_13,LEA_3_MATH_PROF_13,ST_3_MATH_PROF_13,SCH_3_MATH_PASS_13,LEA_3_MATH_PASS_13,ST_3_MATH_PASS_13,SCH_3_MATH_FAIL_13,LEA_3_MATH_FAIL_13,ST_3_MATH_FAIL_13,SCH_4_READ_ADV_13,LEA_4_READ_ADV_13,ST_4_READ_ADV_13,SCH_4_READ_PROF_13,LEA_4_READ_PROF_13,ST_4_READ_PROF_13,SCH_4_READ_PASS_13,LEA_4_READ_PASS_13,ST_4_READ_PASS_13,SCH_4_READ_FAIL_13,LEA_4_READ_FAIL_13,ST_4_READ_FAIL_13,SCH_4_MATH_ADV_13,LEA_4_MATH_ADV_13,ST_4_MATH_ADV_13,SCH_4_MATH_PROF_13,LEA_4_MATH_PROF_13,ST_4_MATH_PROF_13,SCH_4_MATH_PASS_13,LEA_4_MATH_PASS_13,ST_4_MATH_PASS_13,SCH_4_MATH_FAIL_13,LEA_4_MATH_FAIL_13,ST_4_MATH_FAIL_13,SCH_5_READ_ADV_13,LEA_5_READ_ADV_13,ST_5_READ_ADV_13,SCH_5_READ_PROF_13,LEA_5_READ_PROF_13,ST_5_READ_PROF_13,SCH_5_READ_PASS_13,LEA_5_READ_PASS_13,ST_5_READ_PASS_13,SCH_5_READ_FAIL_13,LEA_5_READ_FAIL_13,ST_5_READ_FAIL_13,SCH_5_READ_ADV_13,LEA_5_READ_ADV_13,ST_5_READ_ADV_13,SCH_5_READ_PROF_13,LEA_5_READ_PROF_13,ST_5_READ_PROF_13,SCH_5_READ_PASS_13,LEA_5_READ_PASS_13,ST_5_READ_PASS_13,SCH_5_READ_FAIL_13,LEA_5_READ_FAIL_13,ST_5_READ_FAIL_13,SCH_5_MATH_ADV_13,LEA_5_MATH_ADV_13,ST_5_MATH_ADV_13,SCH_5_MATH_PROF_13,LEA_5_MATH_PROF_13,ST_5_MATH_PROF_13,SCH_5_MATH_PASS_13,LEA_5_MATH_PASS_13,ST_5_MATH_PASS_13,SCH_5_MATH_FAIL_13,LEA_5_MATH_FAIL_13,ST_5_MATH_FAIL_13,SCH_8_READ_ADV_13,LEA_8_READ_ADV_13,ST_8_READ_ADV_13,SCH_8_READ_PROF_13,LEA_8_READ_PROF_13,ST_8_READ_PROF_13,SCH_8_READ_PASS_13,LEA_8_READ_PASS_13,ST_8_READ_PASS_13,SCH_8_READ_FAIL_13,LEA_8_READ_FAIL_13,ST_8_READ_FAIL_13,SCH_8_MATH_ADV_13,LEA_8_MATH_ADV_13,ST_8_MATH_ADV_13,SCH_8_MATH_PROF_13,LEA_8_MATH_PROF_13,ST_8_MATH_PROF_13,SCH_8_MATH_PASS_13,LEA_8_MATH_PASS_13,ST_8_MATH_PASS_13,SCH_8_MATH_FAIL_13,LEA_8_MATH_FAIL_13,ST_8_MATH_FAIL_13,SCH_HS_READ_ADV_13,LEA_HS_READ_ADV_13,ST_HS_READ_ADV_13,SCH_HS_READ_PROF_13,LEA_HS_READ_PROF_13,ST_HS_READ_PROF_13,SCH_HS_READ_PASS_13,LEA_HS_READ_PASS_13,ST_HS_READ_PASS_13,SCH_HS_READ_FAIL_13,LEA_HS_READ_FAIL_13,ST_HS_READ_FAIL_13,SCH_HS_MATH_ADV_13,LEA_HS_MATH_ADV_13,ST_HS_MATH_ADV_13,SCH_HS_MATH_PROF_13,LEA_HS_MATH_PROF_13,ST_HS_MATH_PROF_13,SCH_HS_MATH_PASS_13,LEA_HS_MATH_PASS_13,ST_HS_MATH_PASS_13,SCH_HS_MATH_FAIL_13,LEA_HS_MATH_FAIL_13,ST_HS_MATH_FAIL_13,SCH_HS_ALG1_ADV_13,LEA_HS_ALG1_ADV_13,ST_HS_ALG1_ADV_13,SCH_HS_ALG1_PROF_13,LEA_HS_ALG1_PROF_13,ST_HS_ALG1_PROF_13,SCH_HS_ALG1_PASS_13,LEA_HS_ALG1_PASS_13,ST_HS_ALG1_PASS_13,SCH_HS_ALG1_FAIL_13,LEA_HS_ALG1_FAIL_13,ST_HS_ALG1_FAIL_13,SCH_HS_GEOM_ADV_13,LEA_HS_GEOM_ADV_13,ST_HS_GEOM_ADV_13,SCH_HS_GEOM_PROF_13,LEA_HS_GEOM_PROF_13,ST_HS_GEOM_PROF_13,SCH_HS_GEOM_PASS_13,LEA_HS_GEOM_PASS_13,ST_HS_GEOM_PASS_13,SCH_HS_GEOM_FAIL_13,LEA_HS_GEOM_FAIL_13,ST_HS_GEOM_FAIL_13,SCH_HS_ALG2_ADV_13,LEA_HS_ALG2_ADV_13,ST_HS_ALG2_ADV_13,SCH_HS_ALG2_PROF_13,LEA_HS_ALG2_PROF_13,ST_HS_ALG2_PROF_13,SCH_HS_ALG2_PASS_13,LEA_HS_ALG2_PASS_13,ST_HS_ALG2_PASS_13,SCH_HS_ALG2_FAIL_13,LEA_HS_ALG2_FAIL_13,ST_HS_ALG2_FAIL_13,SCH_6_READ_ADV_13,LEA_6_READ_ADV_13,ST_6_READ_ADV_13,SCH_6_READ_PROF_13,LEA_6_READ_PROF_13,ST_6_READ_PROF_13,SCH_6_READ_PASS_13,LEA_6_READ_PASS_13,ST_6_READ_PASS_13,SCH_6_READ_FAIL_13,LEA_6_READ_FAIL_13,ST_6_READ_FAIL_13,SCH_6_MATH_ADV_13,LEA_6_MATH_ADV_13,ST_6_MATH_ADV_13,SCH_6_MATH_PROF_13,LEA_6_MATH_PROF_13,ST_6_MATH_PROF_13,SCH_6_MATH_PASS_13,LEA_6_MATH_PASS_13,ST_6_MATH_PASS_13,SCH_6_MATH_FAIL_13,LEA_6_MATH_FAIL_13,ST_6_MATH_FAIL_13,SCH_7_READ_ADV_13,LEA_7_READ_ADV_13,ST_7_READ_ADV_13,SCH_7_READ_PROF_13,LEA_7_READ_PROF_13,ST_7_READ_PROF_13,SCH_7_READ_PASS_13,LEA_7_READ_PASS_13,ST_7_READ_PASS_13,SCH_7_READ_FAIL_13,LEA_7_READ_FAIL_13,ST_7_READ_FAIL_13,SCH_7_MATH_ADV_13,LEA_7_MATH_ADV_13,ST_7_MATH_ADV_13,SCH_7_MATH_PROF_13,LEA_7_MATH_PROF_13,ST_7_MATH_PROF_13,SCH_7_MATH_PASS_13,LEA_7_MATH_PASS_13,ST_7_MATH_PASS_13,SCH_7_MATH_FAIL_13,LEA_7_MATH_FAIL_13,ST_7_MATH_FAIL_13,
Thelma Crenshaw Elementary,"11901 Bailey Bridge Rd., Midlothian, VA 23112-3136",Principal: Amy Williams,(804) 739-6250,Chesterfield County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,0,1,,,2,1,5,1,53,44,0,49,49,1,42,56,1,8,14,16,44,59,53,53,72,69,47,28,31,8,17,16,58,58,51,66,75,67,34,25,33,7,20,18,53,53,52,59,73,70,41,27,30,11,28,26,72,57,54,83,86,80,17,14,20,9,17,21,65,59,53,73,76,73,27,24,27,13,27,23,60,50,48,74,77,71,26,23,29,6,16,24,50,57,49,56,73,73,44,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,17,13,76,63,62,100,80,76,0,20,24,,,,,,,,,,,,,,,,,,,,,,,,,1566
Carver Middle,"3800 Cougar Trail, Chester, VA 23831",Principal: Donald Ashburn,(804) 524-3620,Chesterfield County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,1,0,1,2,0,2,1,5,1,49,48,2,49,49,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,11,59,61,59,67,74,70,33,26,30,11,22,9,55,61,58,66,83,67,34,17,33,,,,,,,,,,,,,,,,,,,,,,,,,9,9,8,78,66,71,88,76,79,12,24,21,<,11,12,<,61,65,<,72,77,<,28,23,,,,,,,,,,,,,6,14,15,61,61,58,68,75,73,32,25,27,3,17,13,57,63,62,60,80,76,40,20,24,8,17,17,59,61,58,67,78,76,33,22,24,8,14,14,57,58,51,65,72,65,35,28,35,1567
Bensley Elementary,"6600 Strathmore Rd, North Chesterfield, VA 23237-1129",Principal: Bessie Cooper,(804) 743-3610,Chesterfield County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,0,1,,,2,1,5,1,54,46,0,49,49,1,42,56,1,13,14,16,68,59,53,81,72,69,19,28,31,29,17,16,59,58,51,88,75,67,12,25,33,8,20,18,55,53,52,63,73,70,37,27,30,27,28,26,60,57,54,87,86,80,13,14,20,5,17,21,57,59,53,62,76,73,38,24,27,8,27,23,60,50,48,68,77,71,32,23,29,10,16,24,58,57,49,68,73,73,32,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17,13,73,63,62,87,80,76,13,20,24,,,,,,,,,,,,,,,,,,,,,,,,,1568
Woolridge Elementary,"5401 Timber Bluff Pkwy., Midlothian, VA 23112-6380",Principal: June Edwards,(804) 739-6330,Chesterfield County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,0,1,0,2,2,1,5,1,60,40,0,49,49,1,42,56,1,18,14,16,64,59,53,82,72,69,18,28,31,26,17,16,56,58,51,83,75,67,17,25,33,20,20,18,61,53,52,81,73,70,19,27,30,14,28,26,76,57,54,90,86,80,10,14,20,35,17,21,56,59,53,91,76,73,9,24,27,51,27,23,42,50,48,93,77,71,7,23,29,26,16,24,66,57,49,92,73,73,8,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,17,13,22,63,62,100,80,76,0,20,24,,,,,,,,,,,,,,,,,,,,,,,,,1569
Harrowgate Elementary,"15501 Harrowgate Rd., Chester, VA 23831-7127",Principal: Dr. Patrice Wilson,(804) 520-6015,Chesterfield County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,0,1,,,2,1,5,1,67,33,0,49,49,1,42,56,1,4,14,16,44,59,53,48,72,69,52,28,31,6,17,16,50,58,51,56,75,67,44,25,33,20,20,18,49,53,52,69,73,70,31,27,30,18,28,26,66,57,54,85,86,80,15,14,20,6,17,21,66,59,53,72,76,73,28,24,27,11,27,23,59,50,48,70,77,71,30,23,29,6,16,24,72,57,49,77,73,73,23,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,13,93,63,62,93,80,76,7,20,24,,,,,,,,,,,,,,,,,,,,,,,,,1570
C.C. Wells Elementary,"13101 S. Chester Rd., Chester, VA 23831-4553",Principal: Ms. Deborah Weatherford,(804) 768-6265,Chesterfield County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,0,1,,,2,1,5,1,38,57,5,49,49,1,42,56,1,11,14,16,68,59,53,79,72,69,21,28,31,16,17,16,65,58,51,81,75,67,19,25,33,23,20,18,57,53,52,80,73,70,20,27,30,33,28,26,63,57,54,95,86,80,5,14,20,14,17,21,67,59,53,81,76,73,19,24,27,27,27,23,60,50,48,87,77,71,13,23,29,21,16,24,62,57,49,82,73,73,18,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,17,13,52,63,62,100,80,76,0,20,24,,,,,,,,,,,,,,,,,,,,,,,,,1571
Oakland Elementary,"4930 Pipers Gap Road, Galax, VA 24333",Principal: Mr. Larry F. Williams,(276) 236-3049,Carroll County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,1,1,,,4,0,5,1,44,56,0,48,49,1,42,56,1,12,12,16,53,53,53,65,65,69,35,35,31,12,14,16,38,47,51,50,62,67,50,38,33,9,12,18,76,56,52,85,68,70,15,32,30,18,25,26,73,58,54,91,83,80,9,17,20,9,19,21,70,56,53,79,75,73,21,25,27,6,24,23,44,47,48,50,71,71,50,29,29,12,22,24,55,49,49,67,72,73,33,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572
Gladesboro Elementary,"7845 Snake Creek, Hillsville, VA 24343",Principal: Mrs. Samantha S Reed,(276) 398-2493,Carroll County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,1,1,6,0,4,0,5,1,69,31,0,48,49,1,42,56,1,30,12,16,50,53,53,80,65,69,20,35,31,5,14,16,65,47,51,70,62,67,30,38,33,43,12,18,36,56,52,79,68,70,21,32,30,29,25,26,50,58,54,79,83,80,21,17,20,15,19,21,77,56,53,92,75,73,8,25,27,27,24,23,55,47,48,82,71,71,18,29,29,15,22,24,62,49,49,77,72,73,23,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574
Laurel Elementary,"26 Pleasant View Road, Austinville, VA 24312",Principal: Mrs. Angela M. Beamer,(276) 728-9247,Carroll County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,1,1,,,4,0,5,1,48,52,0,48,49,1,42,56,1,5,12,16,68,53,53,73,65,69,27,35,31,16,14,16,59,47,51,76,62,67,24,38,33,14,12,18,54,56,52,68,68,70,32,32,30,26,25,26,63,58,54,89,83,80,11,17,20,13,19,21,68,56,53,80,75,73,20,25,27,18,24,23,63,47,48,80,71,71,20,29,29,18,22,24,58,49,49,75,72,73,25,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575
Hillsville Elementary,"90 Patriot Lane, Hillsville, VA 24343",Principal: Mrs. Elizabeth S. Motley,(276) 728-7312,Carroll County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,1,1,,,4,0,5,1,51,49,0,48,49,1,42,56,1,13,12,16,49,53,53,62,65,69,38,35,31,14,14,16,44,47,51,58,62,67,42,38,33,5,12,18,53,56,52,58,68,70,43,32,30,24,25,26,53,58,54,76,83,80,24,17,20,19,19,21,50,56,53,69,75,73,31,25,27,41,24,23,38,47,48,78,71,71,22,29,29,19,22,24,49,49,49,68,72,73,32,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576
Fancy Gap Elementary,"63 Winding Ridge Rd, Fancy Gap, VA 24328",Principal: Dr. Jeanne D. Edwards,(276) 728-7504,Carroll County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,1,1,,,4,0,5,1,41,55,5,48,49,1,42,56,1,7,12,16,61,53,53,68,65,69,32,35,31,14,14,16,48,47,51,62,62,67,38,38,33,9,12,18,74,56,52,83,68,70,17,32,30,41,25,26,50,58,54,91,83,80,9,17,20,33,19,21,50,56,53,83,75,73,17,25,27,47,24,23,40,47,48,87,71,71,13,29,29,33,22,24,50,49,49,83,72,73,17,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577
Gladeville Elementary,"3117 Glendale Rd, Galax, VA 24333",Principal: Mrs. Mary Jane Carico,(276) 236-5449,Carroll County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,1,1,,,4,0,5,1,48,52,0,48,49,1,42,56,1,8,12,16,40,53,53,48,65,69,52,35,31,8,14,16,40,47,51,48,62,67,52,38,33,8,12,18,48,56,52,56,68,70,44,32,30,10,25,26,66,58,54,76,83,80,24,17,20,21,19,21,52,56,53,74,75,73,26,25,27,13,24,23,50,47,48,63,71,71,37,29,29,20,22,24,43,49,49,62,72,73,38,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580
Carroll County High,"100 Cavs Lane, Hillsville, VA 24343",Principal: Mr. Charles T. Thompson,(276) 728-2125,Carroll County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,1,1,1,3,0,4,0,5,1,40,53,1,48,49,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,7,11,<,63,59,<,71,70,<,29,30,<,6,9,<,60,58,<,67,67,<,33,33,7,7,10,81,81,80,88,88,90,12,12,10,<,<,54,<,<,15,<,<,69,<,<,31,0,0,8,56,62,71,56,62,79,44,38,21,2,2,12,75,78,65,77,80,77,23,20,23,18,18,20,61,61,62,79,79,82,21,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582
Charles City County Elementary,"10049 Courthouse Rd, Charles City, VA 23030-3440",Principal: Ms. Latonia Y. Anderson,(804) 829-9256,Charles City County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,8,3,1,4,0,10,1,5,1,38,62,0,43,53,1,42,56,1,25,25,16,58,58,53,83,83,69,17,17,31,15,15,16,73,73,51,88,88,67,12,12,33,11,11,18,35,35,52,46,46,70,54,54,30,11,11,26,38,38,54,49,49,80,51,51,20,25,25,21,61,61,53,86,86,73,14,14,27,19,19,23,57,57,48,76,76,71,24,24,29,21,21,24,63,63,49,84,84,73,16,16,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583
Charles City County High,"10039 Courthouse Rd, Charles City, VA 23030-3440",Principal: Mrs. Stephannie F. Crutchfield,(804) 829-9249,Charles City County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,4,3,1,10,3,10,1,5,1,42,55,0,43,53,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,2,11,<,48,59,<,50,70,<,50,30,<,0,9,<,36,58,<,36,67,<,64,33,6,6,10,88,88,80,94,94,90,6,6,10,,,,,,,,,,,,,<,3,8,<,68,71,<,70,79,<,30,21,0,0,12,83,83,65,83,83,77,17,17,23,9,9,20,65,65,62,74,74,82,26,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584
Charles City County Middle,"10035 Courthouse Rd, Charles City, VA 23030-3440",Principal: Dr. Brenda M. Petteway,(804) 829-9252,Charles City County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,3,1,16,0,10,1,5,1,50,42,4,43,53,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,11,49,48,59,51,50,70,49,50,30,0,0,9,38,36,58,38,36,67,63,64,33,,,,,,,,,,,,,,,,,,,,,,,,,0,3,8,68,68,71,68,70,79,32,30,21,<,0,12,<,83,65,<,83,77,<,17,23,,,,,,,,,,,,,14,14,15,51,51,58,66,66,73,34,34,27,4,4,13,55,55,62,59,59,76,41,41,24,8,8,17,56,56,58,64,64,76,36,36,24,,,,,,,,,,,,,1585
Eureka Elementary,"315 Eureka School Rd, Keysville, VA 23947",Principal: Mr. W. Brian Hamilton,(434) 736-8458,Charlotte County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,6,1,,,7,1,5,1,78,22,0,56,40,1,42,56,1,21,14,16,59,53,53,80,67,69,20,33,31,18,12,16,57,48,51,75,59,67,25,41,33,13,9,18,66,63,52,79,71,70,21,29,30,23,21,26,62,57,54,85,78,80,15,22,20,13,14,21,68,61,53,81,76,73,19,24,27,28,20,23,54,54,48,82,73,71,18,27,29,44,30,24,44,45,49,88,75,73,12,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587
Central Middle,"PO Box 748, Charlotte Court House, VA 23923",Principal: Mr. Michael R. Haskins,(434) 542-4536,Charlotte County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,3,6,1,6,0,7,1,5,1,59,38,0,56,40,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,11,63,62,59,70,69,70,30,31,30,4,4,9,80,79,58,84,83,67,16,17,33,,,,,,,,,,,,,,,,,,,,,,,,,10,3,8,90,67,71,100,69,79,0,31,21,,,,,,,,,,,,,,,,,,,,,,,,,8,8,15,57,56,58,65,64,73,35,36,27,18,18,13,62,61,62,80,80,76,20,20,24,10,10,17,64,64,58,74,74,76,26,26,24,18,18,14,66,66,51,83,83,65,17,17,35,1589
Phenix Elementary,"400  Red House Road, Phenix, VA 23959",Principal: Dr. Ann E. Nelson,(434) 542-5570,Charlotte County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,6,6,1,6,0,7,1,5,1,50,44,6,56,40,1,42,56,1,12,14,16,59,53,53,71,67,69,29,33,31,5,12,16,48,48,51,53,59,67,48,41,33,8,9,18,69,63,52,78,71,70,22,29,30,22,21,26,55,57,54,78,78,80,22,22,20,17,14,21,51,61,53,69,76,73,31,24,27,14,20,23,47,54,48,61,73,71,39,27,29,11,30,24,46,45,49,57,75,73,43,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590
Randolph-Henry High,"PO Box 668, Charlotte C H, VA 23923",Principal: Mr. Robbie W. Mason,(434) 542-4111,Charlotte County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,9,6,1,8,2,7,1,5,1,42,52,2,56,40,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,85,85,80,94,94,90,6,6,10,<,<,54,<,<,15,<,<,69,<,<,31,0,3,8,59,67,71,59,69,79,41,31,21,3,3,12,75,76,65,79,79,77,21,21,23,6,6,20,65,65,62,71,71,82,29,29,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591
Bacon District Elementary,"840 Bacon School Rd, Saxe, VA 23967",Principal: Mrs. Sylvia R. Lockett,(434) 735-8612,Charlotte County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,6,1,,,7,1,5,1,63,38,0,56,40,1,42,56,1,4,14,16,36,53,53,39,67,69,61,33,31,7,12,16,32,48,51,39,59,67,61,41,33,0,9,18,48,63,52,48,71,70,52,29,30,16,21,26,52,57,54,68,78,80,32,22,20,13,14,21,61,61,53,74,76,73,26,24,27,4,20,23,65,54,48,70,73,71,30,27,29,17,30,24,48,45,49,65,75,73,35,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592
Lloyd C. Bird High,"10301 Courthouse Rd., Chesterfield, VA 23832-6616",Principal: Dr. Laura Hebert,(804) 768-6110,Chesterfield County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,0,1,4,0,2,1,5,1,45,53,2,49,49,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,12,11,<,61,59,<,74,70,<,26,30,<,22,9,<,61,58,<,83,67,<,17,33,5,8,10,83,84,80,88,92,90,12,8,10,<,56,54,<,21,15,<,77,69,<,23,31,0,9,8,25,66,71,25,76,79,75,24,21,3,11,12,51,61,65,54,72,77,46,28,23,9,18,20,80,65,62,89,83,82,11,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593
Bon Air Elementary,"8701 Polk St, Bon Air, VA 23235-3403",Principal: Bruce Tetlow,(804) 560-2700,Chesterfield County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,0,1,,,2,1,5,1,47,53,0,49,49,1,42,56,1,18,14,16,59,59,53,77,72,69,23,28,31,17,17,16,55,58,51,72,75,67,28,25,33,25,20,18,56,53,52,81,73,70,19,27,30,39,28,26,54,57,54,93,86,80,7,14,20,13,17,21,71,59,53,84,76,73,16,24,27,31,27,23,59,50,48,90,77,71,10,23,29,15,16,24,68,57,49,83,73,73,17,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,17,13,33,63,62,100,80,76,0,20,24,,,,,,,,,,,,,,,,,,,,,,,,,1594
