DISTRICT/MUNI,ITEM,Releases
 KYENJOJO ,R/Water," 530,043 "
 LIRA ,R/Water," 766,964 "
 LUWERO ,R/Water," 654,654 "
 MASAKA ,R/Water," 856,370 "
 MASINDI ,R/Water," 535,044 "
 MAYUGE ,R/Water," 195,015 "
 MBALE ,R/Water," 300,024 "
 MBARARA ,R/Water," 1,078,089 "
 MOROTO ,R/Water," 275,723 "
 MOYO ,R/Water," 282,223 "
 MPIGI ,R/Water," 483,740 "
 MUBENDE ,R/Water," 613,850 "
 MUKONO ,R/Water," 681,756 "
 NAKAPIRIPIRIT ,R/Water," 245,019 "
 NAKASONGOLA ,R/Water," 465,539 "
 NEBBI ,R/Water," 497,940 "
 NTUNGAMO ,R/Water," 559,045 "
 PADER ,R/Water," 345,028 "
 PALLISA ,R/Water," 195,015 "
 RAKAI ,R/Water," 717,860 "
 RUKUNGIRI ,R/Water," 384,231 "
 SEMBABULE ,R/Water," 410,233 "
 SIRONKO ,R/Water," 195,015 "
 SOROTI ,R/Water," 525,044 "
 TORORO ,R/Water," 195,015 "
 WAKISO ,R/Water," 590,049 "
 YUMBE ,R/Water," 215,017 "
ARUA M.C.,R/Water,
ENTEBBE M.C.,R/Water,
FORT PORTAL M.C.,R/Water,
GULU M.C.,R/Water,
JINJA M.C.,R/Water,
KABALE M.C.,R/Water,
LIRA M.C.,R/Water,
MASAKA M.C.,R/Water,
MBALE M.C.,R/Water,
MBARARA M.C.,R/Water,
MOROTO M.C.,R/Water,
SOROTI M.C.,R/Water,
TORORO M.C.,R/Water,
,,
 ADJUMANI ,PHCdevt," 61,041 "
 APAC ,PHCdevt," 88,347 "
 ARUA ,PHCdevt," 194,853 "
 BUGIRI ,PHCdevt," 133,122 "
 BUNDIBUGYO ,PHCdevt," 127,113 "
 BUSHENYI ,PHCdevt," 275,745 "
 BUSIA ,PHCdevt," 93,073 "
 GULU ,PHCdevt," 138,354 "
 HOIMA ,PHCdevt," 67,666 "
 IGANGA ,PHCdevt," 205,595 "
 JINJA ,PHCdevt," 57,432 "
 KABALE ,PHCdevt," 470,732 "
 KABAROLE ,PHCdevt," 50,000 "
 KABERAMAIDO ,PHCdevt," 93,603 "
 KALANGALA ,PHCdevt," 50,000 "
 KAMPALA ,PHCdevt," 58,326 "
 KAMULI ,PHCdevt," 16,074 "
 KAMWENGE ,PHCdevt," 70,000 "
 KANUNGU ,PHCdevt," 59,024 "
 KAPCHORWA ,PHCdevt," 70,204 "
 KASESE ,PHCdevt," 80,617 "
 KATAKWI ,PHCdevt," 217,999 "
 KAYUNGA ,PHCdevt," 74,109 "
 KIBALE ,PHCdevt," 194,810 "
 KIBOGA ,PHCdevt," 64,705 "
 KISORO ,PHCdevt," 63,985 "
 KITGUM ,PHCdevt," 235,585 "
 KOTIDO ,PHCdevt," 74,059 "
 KUMI ,PHCdevt," 59,434 "
 KYENJOJO ,PHCdevt," 85,999 "
 LIRA ,PHCdevt," 142,794 "
 LUWERO ,PHCdevt," 112,897 "
 MASAKA ,PHCdevt," 284,955 "
 MASINDI ,PHCdevt," 74,305 "
 MAYUGE ,PHCdevt," 76,899 "
 MBALE ,PHCdevt," 215,580 "
 MBARARA ,PHCdevt," 444,231 "
 MOROTO ,PHCdevt," 58,814 "
 MOYO ,PHCdevt," 69,968 "
 MPIGI ,PHCdevt," 80,879 "
 MUBENDE ,PHCdevt," 222,285 "
 MUKONO ,PHCdevt," 112,350 "
 NAKAPIRIPIRIT ,PHCdevt," 122,988 "
 NAKASONGOLA ,PHCdevt," 95,797 "
 NEBBI ,PHCdevt," 104,472 "
 NTUNGAMO ,PHCdevt," 93,781 "
 PADER ,PHCdevt," 62,244 "
 PALLISA ,PHCdevt," 97,844 "
 RAKAI ,PHCdevt," 128,879 "
 RUKUNGIRI ,PHCdevt," 459,758 "
 SEMBABULE ,PHCdevt," 50,000 "
 SIRONKO ,PHCdevt," 234,153 "
 SOROTI ,PHCdevt," 162,153 "
 TORORO ,PHCdevt," 122,041 "
 WAKISO ,PHCdevt," 352,194 "
 YUMBE ,PHCdevt," 61,144 "
ARUA M.C.,PHCdevt,
ENTEBBE M.C.,PHCdevt,
FORT PORTAL M.C.,PHCdevt,
GULU M.C.,PHCdevt,
JINJA M.C.,PHCdevt,
KABALE M.C.,PHCdevt,
LIRA M.C.,PHCdevt,
MASAKA M.C.,PHCdevt,
MBALE M.C.,PHCdevt,
MBARARA M.C.,PHCdevt,
MOROTO M.C.,PHCdevt,
SOROTI M.C.,PHCdevt,
TORORO M.C.,PHCdevt,
,,
 ADJUMANI ,LGDP," 193,794 "
 APAC ,LGDP," 803,401 "
 ARUA ,LGDP," 1,049,142 "
 BUGIRI ,LGDP," 457,608 "
 BUNDIBUGYO ,LGDP," 252,568 "
 BUSHENYI ,LGDP," 1,323,440 "
 BUSIA ,LGDP," 266,543 "
 GULU ,LGDP," 830,911 "
 HOIMA ,LGDP,
 IGANGA ,LGDP," 992,710 "
 JINJA ,LGDP," 423,743 "
 KABALE ,LGDP," 1,102,940 "
 KABAROLE ,LGDP," 661,805 "
 KABERAMAIDO ,LGDP, -   
 KALANGALA ,LGDP," 153,044 "
 KAMPALA ,LGDP," 1,944,350 "
 KAMULI ,LGDP," 903,540 "
 KAMWENGE ,LGDP," 402,314 "
 KANUNGU ,LGDP," 328,603 "
 KAPCHORWA ,LGDP," 209,766 "
 KASESE ,LGDP,
 KATAKWI ,LGDP," 257,064 "
 KAYUNGA ,LGDP," 474,111 "
 KIBALE ,LGDP,
 KIBOGA ,LGDP," 274,453 "
 KISORO ,LGDP," 466,024 "
 KITGUM ,LGDP," 543,386 "
 KOTIDO ,LGDP," 501,333 "
 KUMI ,LGDP,
 KYENJOJO ,LGDP," 553,773 "
 LIRA ,LGDP, -   
 LUWERO ,LGDP," 1,070,324 "
 MASAKA ,LGDP," 1,512,926 "
 MASINDI ,LGDP," 614,921 "
 MAYUGE ,LGDP," 467,867 "
 MBALE ,LGDP," 906,685 "
 MBARARA ,LGDP," 1,413,382 "
 MOROTO ,LGDP," 520,962 "
 MOYO ,LGDP," 200,036 "
 MPIGI ,LGDP," 822,433 "
 MUBENDE ,LGDP," 885,772 "
 MUKONO ,LGDP," 1,308,827 "
 NAKAPIRIPIRIT ,LGDP," 461,088 "
 NAKASONGOLA ,LGDP," 229,317 "
 NEBBI ,LGDP," 530,291 "
 NTUNGAMO ,LGDP," 507,029 "
 PADER ,LGDP," 1,367,275 "
 PALLISA ,LGDP," 634,670 "
 RAKAI ,LGDP,
 RUKUNGIRI ,LGDP," 459,489 "
 SEMBABULE ,LGDP," 308,109 "
 SIRONKO ,LGDP," 317,432 "
 SOROTI ,LGDP, -   
 TORORO ,LGDP," 726,821 "
 WAKISO ,LGDP," 1,223,561 "
 YUMBE ,LGDP," 257,404 "
ARUA M.C.,LGDP," 306,666 "
ENTEBBE M.C.,LGDP," 407,191 "
FORT PORTAL M.C.,LGDP," 444,242 "
GULU M.C.,LGDP," 385,944 "
JINJA M.C.,LGDP," 943,494 "
KABALE M.C.,LGDP," 253,041 "
LIRA M.C.,LGDP," 306,674 "
MASAKA M.C.,LGDP," 723,314 "
MBALE M.C.,LGDP," 600,567 "
MBARARA M.C.,LGDP," 496,343 "
MOROTO M.C.,LGDP," 90,995 "
SOROTI M.C.,LGDP," 354,481 "
TORORO M.C.,LGDP," 444,240 "
,,
 ADJUMANI ,Dutch," 338,982 "
 APAC ,Dutch, -   
 ARUA ,Dutch," 1,384,865 "
 BUGIRI ,Dutch, -   
 BUNDIBUGYO ,Dutch, -   
 BUSHENYI ,Dutch, -   
 BUSIA ,Dutch, -   
 GULU ,Dutch, -   
 HOIMA ,Dutch,
 IGANGA ,Dutch, -   
 JINJA ,Dutch, -   
 KABALE ,Dutch, -   
 KABAROLE ,Dutch, -   
 KABERAMAIDO ,Dutch," 569,736 "
 KALANGALA ,Dutch, -   
 KAMPALA ,Dutch, -   
 KAMULI ,Dutch, -   
 KAMWENGE ,Dutch, -   
 KANUNGU ,Dutch, -   
 KAPCHORWA ,Dutch, -   
 KASESE ,Dutch,
 KATAKWI ,Dutch," 740,809 "
 KAYUNGA ,Dutch, -   
 KIBALE ,Dutch,
 KIBOGA ,Dutch, -   
 KISORO ,Dutch, -   
 KITGUM ,Dutch, -   
 KOTIDO ,Dutch, -   
 KUMI ,Dutch,
 KYENJOJO ,Dutch, -   
 LIRA ,Dutch," 1,689,367 "
 LUWERO ,Dutch, -   
 MASAKA ,Dutch, -   
 MASINDI ,Dutch, -   
 MAYUGE ,Dutch, -   
 MBALE ,Dutch, -   
 MBARARA ,Dutch, -   
 MOROTO ,Dutch, -   
 MOYO ,Dutch," 303,902 "
 MPIGI ,Dutch, -   
 MUBENDE ,Dutch, -   
 MUKONO ,Dutch, -   
 NAKAPIRIPIRIT ,Dutch, -   
 NAKASONGOLA ,Dutch, -   
 NEBBI ,Dutch," 1,052,355 "
 NTUNGAMO ,Dutch, -   
 PADER ,Dutch, -   
 PALLISA ,Dutch, -   
 RAKAI ,Dutch,
 RUKUNGIRI ,Dutch, -   
 SEMBABULE ,Dutch, -   
 SIRONKO ,Dutch, -   
 SOROTI ,Dutch," 961,788 "
 TORORO ,Dutch, -   
 WAKISO ,Dutch, -   
 YUMBE ,Dutch," 292,888 "
ARUA M.C.,Dutch, -   
ENTEBBE M.C.,Dutch, -   
FORT PORTAL M.C.,Dutch, -   
GULU M.C.,Dutch, -   
JINJA M.C.,Dutch, -   
KABALE M.C.,Dutch, -   
LIRA M.C.,Dutch, -   
MASAKA M.C.,Dutch, -   
MBALE M.C.,Dutch, -   
MBARARA M.C.,Dutch, -   
MOROTO M.C.,Dutch, -   
SOROTI M.C.,Dutch, -   
TORORO M.C.,Dutch, -   
Support to NAADs,,
 ADJUMANI ,NAADs,
 APAC ,NAADs,
 ARUA ,NAADs," 425,000 "
 BUGIRI ,NAADs,
 BUNDIBUGYO ,NAADs,
 BUSHENYI ,NAADs," 331,000 "
 BUSIA ,NAADs," 231,000 "
 GULU ,NAADs,
 HOIMA ,NAADs,
 IGANGA ,NAADs," 331,000 "
 JINJA ,NAADs,
 KABALE ,NAADs," 425,000 "
 KABAROLE ,NAADs," 331,000 "
 KABERAMAIDO ,NAADs,0
 KALANGALA ,NAADs,
 KAMPALA ,NAADs,
 KAMULI ,NAADs,
 KAMWENGE ,NAADs,0
 KANUNGU ,NAADs,0
 KAPCHORWA ,NAADs," 195,478 "
 KASESE ,NAADs,
 KATAKWI ,NAADs, -   
 KAYUNGA ,NAADs,0
 KIBALE ,NAADs," 425,000 "
 KIBOGA ,NAADs,
 KISORO ,NAADs,
 KITGUM ,NAADs," 330,999 "
 KOTIDO ,NAADs,
 KUMI ,NAADs,
 KYENJOJO ,NAADs,0
 LIRA ,NAADs," 331,000 "
 LUWERO ,NAADs," 331,000 "
 MASAKA ,NAADs,
 MASINDI ,NAADs,
 MAYUGE ,NAADs,
 MBALE ,NAADs,
 MBARARA ,NAADs," 231,000 "
 MOROTO ,NAADs,
 MOYO ,NAADs,
 MPIGI ,NAADs,
 MUBENDE ,NAADs,
 MUKONO ,NAADs," 425,000 "
 NAKAPIRIPIRIT ,NAADs,0
 NAKASONGOLA ,NAADs,
 NEBBI ,NAADs,
 NTUNGAMO ,NAADs,
 PADER ,NAADs,0
 PALLISA ,NAADs,
 RAKAI ,NAADs,
 RUKUNGIRI ,NAADs,
 SEMBABULE ,NAADs,
 SIRONKO ,NAADs,
 SOROTI ,NAADs," 425,000 "
 TORORO ,NAADs," 425,000 "
 WAKISO ,NAADs," 331,000 "
 YUMBE ,NAADs,
ARUA M.C.,NAADs,
ENTEBBE M.C.,NAADs,
FORT PORTAL M.C.,NAADs,
GULU M.C.,NAADs,
JINJA M.C.,NAADs,
KABALE M.C.,NAADs,
LIRA M.C.,NAADs,
MASAKA M.C.,NAADs,
MBALE M.C.,NAADs,
MBARARA M.C.,NAADs,
MOROTO M.C.,NAADs,
SOROTI M.C.,NAADs,
TORORO M.C.,NAADs,
SFG,,
 ADJUMANI ,SFG," 784,707 "
 APAC ,SFG," 941,648 "
 ARUA ,SFG," 784,707 "
 BUGIRI ,SFG," 1,082,111 "
 BUNDIBUGYO ,SFG," 772,936 "
 BUSHENYI ,SFG," 784,707 "
 BUSIA ,SFG," 784,707 "
 GULU ,SFG," 784,707 "
 HOIMA ,SFG," 772,936 "
 IGANGA ,SFG," 1,255,531 "
 JINJA ,SFG," 784,706 "
 KABALE ,SFG," 784,707 "
 KABAROLE ,SFG," 1,098,590 "
 KABERAMAIDO ,SFG," 618,349 "
 KALANGALA ,SFG," 627,765 "
 KAMPALA ,SFG," 784,706 "
 KAMULI ,SFG," 784,706 "
 KAMWENGE ,SFG," 941,648 "
 KANUNGU ,SFG," 941,648 "
 KAPCHORWA ,SFG," 784,707 "
 KASESE ,SFG," 784,707 "
 KATAKWI ,SFG," 784,707 "
 KAYUNGA ,SFG," 941,648 "
 KIBALE ,SFG," 784,707 "
 KIBOGA ,SFG," 784,707 "
 KISORO ,SFG," 784,707 "
 KITGUM ,SFG," 772,936 "
 KOTIDO ,SFG," 772,936 "
 KUMI ,SFG," 784,706 "
 KYENJOJO ,SFG," 1,098,590 "
 LIRA ,SFG," 784,707 "
 LUWERO ,SFG," 784,707 "
 MASAKA ,SFG," 1,098,589 "
 MASINDI ,SFG," 784,707 "
 MAYUGE ,SFG," 1,098,590 "
 MBALE ,SFG," 1,255,531 "
 MBARARA ,SFG," 1,255,531 "
 MOROTO ,SFG," 784,707 "
 MOYO ,SFG," 784,707 "
 MPIGI ,SFG," 941,648 "
 MUBENDE ,SFG," 772,936 "
 MUKONO ,SFG," 941,648 "
 NAKAPIRIPIRIT ,SFG," 784,707 "
 NAKASONGOLA ,SFG," 784,707 "
 NEBBI ,SFG," 784,707 "
 NTUNGAMO ,SFG," 772,936 "
 PADER ,SFG," 784,707 "
 PALLISA ,SFG," 941,648 "
 RAKAI ,SFG," 774,569 "
 RUKUNGIRI ,SFG," 627,765 "
 SEMBABULE ,SFG," 784,707 "
 SIRONKO ,SFG," 1,082,111 "
 SOROTI ,SFG," 784,707 "
 TORORO ,SFG," 784,707 "
 WAKISO ,SFG," 941,648 "
 YUMBE ,SFG," 1,255,531 "
ARUA M.C.,SFG," 390,456 "
ENTEBBE M.C.,SFG," 390,456 "
FORT PORTAL M.C.,SFG," 390,456 "
GULU M.C.,SFG," 468,549 "
JINJA M.C.,SFG," 390,457 "
KABALE M.C.,SFG," 390,457 "
LIRA M.C.,SFG," 461,521 "
MASAKA M.C.,SFG," 390,456 "
MBALE M.C.,SFG," 390,457 "
MBARARA M.C.,SFG," 390,456 "
MOROTO M.C.,SFG," 312,366 "
SOROTI M.C.,SFG," 624,733 "
TORORO M.C.,SFG," 390,456 "
