,Budget Type,Department,Economic Function,Ministry,Non-wage,Non-wage Est,Output,Programme,Sector,Total,Total Est,Vote,Wage,Wage Est
9986,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"11,200",0,,"11,200",0
9987,,,221002  Workshops and Seminars,,0,0,,,,"10,000","12,000",,"10,000","12,000"
9988,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"10,000","6,265",,"10,000","6,265"
9989,,,224002  General Supply of Goods and Services,,"832,345",0,,,,"832,345",0,,0,0
9990,,,227001  Travel Inland,,0,0,,,,"16,065","18,000",,"16,065","18,000"
9991,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"10,000","5,000",,"10,000","5,000"
9992,,,,,,,Output:030103 Renewable Energy Promotion,,,,,,,
9993,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"11,200",0,,"11,200",0
9994,,,221002  Workshops and Seminars,,0,0,,,,"20,000",0,,"20,000",0
9995,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"13,800","9,500",,"13,800","9,500"
9996,,,225002  Consultancy Services- Long-term,,"402,000",0,,,,"402,000",0,,0,0
9997,,,,,,,Output:030104 Increased Rural Electrification,,,,,,,
9998,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"33,600","92,400",,"33,600","92,400"
9999,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10000,,,,,,,,,,,,Vote:017,,
10001,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10002,,"Vote Function 0301 Energy Planning,Management & Infrastructure Dev't",,,,,,,,,,,,
10003,,,,,,,,Project  0325 Energy for Rural Transformation II,,,,,,
10004,,,225002  Consultancy Services- Long-term,,"4,714,000",0,,,,"4,714,000",0,,0,0
10005,,,225003  Taxes on (Professional) Services,,0,0,,,,"200,000",0,,"200,000",0
10006,,,227001  Travel Inland,,0,0,,,,"6,400","6,160",,"6,400","6,160"
10007,,,,,,,Output:030153 Cross Sector Transfers for ERT (Other Components),,,,,,,
10008,,,263204  Transfers to other gov't units(capital),,"26,380,700","1,306,000",,,,"29,780,700","3,306,000",,"3,400,000","2,000,000"
10009,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10010,,,312206  Gross Tax,,0,0,,,,"2,000,000",0,,"2,000,000",0
10011,,,,,,,,Project  0331 Rural Electrification,,,,,,
10012,,,,,,,"Output:030101 Energy Policy/Plans  Dissemination, Regulation and Monitoring",,,,,,,
10013,,,221002  Workshops and Seminars,,0,0,,,,"30,000",0,,"30,000",0
10014,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"21,000",0,,"21,000",0
10015,,,225002  Consultancy Services- Long-term,,"200,000",0,,,,"200,000",0,,0,0
10016,,,,,,,Output:030103 Renewable Energy Promotion,,,,,,,
10017,,,221002  Workshops and Seminars,,0,0,,,,"50,000",0,,"50,000",0
10018,,,221008  Computer Supplies and IT Services,,0,0,,,,"50,000",0,,"50,000",0
10019,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"50,000",0,,"50,000",0
10020,,,221012  Small Office Equipment,,0,0,,,,"90,000",0,,"90,000",0
10021,,,227001  Travel Inland,,0,0,,,,"10,000",0,,"10,000",0
10022,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"60,000",0,,"60,000",0
10023,,,228002  Maintenance - Vehicles,,0,0,,,,"60,000",0,,"60,000",0
10024,,,291001  Tax Refund,,0,0,,,,"2,600,000",0,,"2,600,000",0
10025,,,,,,,Output:030104 Increased Rural Electrification,,,,,,,
10026,,,221002  Workshops and Seminars,,0,0,,,,"19,600",0,,"19,600",0
10027,,,227001  Travel Inland,,0,0,,,,"60,000",0,,"60,000",0
10028,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"60,000",0,,"60,000",0
10029,,,228002  Maintenance - Vehicles,,0,0,,,,"40,000",0,,"40,000",0
10030,,,291001  Tax Refund,,0,0,,,,"2,400,000",0,,"2,400,000",0
10031,,,,,,,Output:030175 Purchase of Motor Vehicles and Other Transport Equipment,,,,,,,
10032,,,231004  Transport Equipment,,"130,000",0,,,,"130,000",0,,0,0
10033,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10034,,,,,,,,,,,,Vote:017,,
10035,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10036,,"Vote Function 0301 Energy Planning,Management & Infrastructure Dev't",,,,,,,,,,,,
10037,,,,,,,,Project  0331 Rural Electrification,,,,,,
10038,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10039,,,231007  Other Structures,,"33,570,000",0,,,,"46,696,000",0,,"13,126,000",0
10040,,,312206  Gross Tax,,0,0,,,,"4,000,000",0,,"4,000,000",0
10041,,,,,,,,Project  0940 Support to Thermal Generation,,,,,,
10042,,,,,,,Output:030152 Thermal and Small Hydro Power Generation (UETCL),,,,,,,
10043,,,263204  Transfers to other gov't units(capital),,0,0,,,,"68,000,000","68,000,000",,"68,000,000","68,000,000"
10044,,,,,,,,Project  1023 Promotion of Renewable Energy & Energy Efficiency,,,,,,
10045,,,,,,,"Output:030101 Energy Policy/Plans  Dissemination, Regulation and Monitoring",,,,,,,
10046,,,211103  Allowances,,0,0,,,,"10,000",0,,"10,000",0
10047,,,221009  Welfare and Entertainment,,0,0,,,,"4,000",0,,"4,000",0
10048,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"8,000","12,000",,"8,000","12,000"
10049,,,225001  Consultancy Services- Short-term,,0,0,,,,"100,000",0,,"100,000",0
10050,,,227001  Travel Inland,,0,0,,,,"16,000","10,000",,"16,000","10,000"
10051,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"14,000","10,000",,"14,000","10,000"
10052,,,228002  Maintenance - Vehicles,,0,0,,,,"8,000","10,000",,"8,000","10,000"
10053,,,,,,,Output:030102 Energy Efficiency Promotion,,,,,,,
10054,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"200,000",0,,"200,000",0
10055,,,211103  Allowances,,0,0,,,,"22,000",0,,"22,000",0
10056,,,221002  Workshops and Seminars,,0,0,,,,"10,000","10,000",,"10,000","10,000"
10057,,,221009  Welfare and Entertainment,,0,0,,,,"8,000",0,,"8,000",0
10058,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"52,000","50,000",,"52,000","50,000"
10059,,,221012  Small Office Equipment,,0,0,,,,"200,000","16,000",,"200,000","16,000"
10060,,,222001  Telecommunications,,0,0,,,,"8,000","8,000",,"8,000","8,000"
10061,,,224002  General Supply of Goods and Services,,0,0,,,,"10,000",0,,"10,000",0
10062,,,227001  Travel Inland,,0,0,,,,"50,000","50,000",,"50,000","50,000"
10063,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"20,000","20,000",,"20,000","20,000"
10064,,,228002  Maintenance - Vehicles,,0,0,,,,"20,000","20,000",,"20,000","20,000"
10065,,,,,,,Output:030103 Renewable Energy Promotion,,,,,,,
10066,,,211103  Allowances,,0,0,,,,"12,000",0,,"12,000",0
10067,,,221002  Workshops and Seminars,,0,0,,,,"62,000","40,000",,"62,000","40,000"
10068,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10069,,,,,,,,,,,,Vote:017,,
10070,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10071,,"Vote Function 0301 Energy Planning,Management & Infrastructure Dev't",,,,,,,,,,,,
10072,,,,,,,,Project  1023 Promotion of Renewable Energy & Energy Efficiency,,,,,,
10073,,,221009  Welfare and Entertainment,,0,0,,,,"12,000",0,,"12,000",0
10074,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"12,000","36,894",,"12,000","36,894"
10075,,,221012  Small Office Equipment,,0,0,,,,"62,000","80,000",,"62,000","80,000"
10076,,,222001  Telecommunications,,0,0,,,,"8,000","10,000",,"8,000","10,000"
10077,,,224002  General Supply of Goods and Services,,0,0,,,,"12,000",0,,"12,000",0
10078,,,227001  Travel Inland,,0,0,,,,"80,000","50,000",,"80,000","50,000"
10079,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"20,000","40,000",,"20,000","40,000"
10080,,,228002  Maintenance - Vehicles,,0,0,,,,"20,000","80,000",,"20,000","80,000"
10081,,,,,,,"Output:030176 Purchase of Office and ICT Equipment, including  Software",,,,,,,
10082,,,,,,,,,,,"21,598,700",,,
10083,,,,,,,,,,,"21,598,700",,,
10084,,,,,,,,Project  1024 Bujagali Interconnection Project,,,,,,
10085,,,,,,,Output:030152 Thermal and Small Hydro Power Generation (UETCL),,,,,,,
10086,,,263204  Transfers to other gov't units(capital),,"23,970,000",0,,,,"23,970,000",0,,0,0
10087,,,312206  Gross Tax,,0,0,,,,"1,000,000",0,,"1,000,000",0
10088,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10089,,,,,,,,,,,"31,589,900",,,
10090,,,,,,,,,,,"31,589,900",,,
10091,,,,,,,,Project  1025 Karuma Interconnection Project,,,,,,
10092,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10093,,,281503  Engineering and Design Studies and Pl,,0,0,,,,"1,000,000","1,920,000",,"1,000,000","1,920,000"
10094,,,312206  Gross Tax,,0,0,,,,"2,000,000",0,,"2,000,000",0
10095,,,,,,,,Project  1026 Mputa Interconnection Project,,,,,,
10096,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10097,,,231007  Other Structures,,"32,452,000","8,056,800",,,,"32,452,000","9,056,800",,0,"1,000,000"
10098,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10099,,,,,,,,,,,,Vote:017,,
10100,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10101,,"Vote Function 0301 Energy Planning,Management & Infrastructure Dev't",,,,,,,,,,,,
10102,,,,,,,,Project  1026 Mputa Interconnection Project,,,,,,
10103,,,312206  Gross Tax,,0,0,,,,"2,000,000",0,,"2,000,000",0
10104,,,,,,,,Project  1137 Mbarara-Nkenda/Tororo-LiraTransmission Lines,,,,,,
10105,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10106,,,231007  Other Structures,,"37,770,000","105,294,300",,,,"59,770,000","107,294,300",,"22,000,000","2,000,000"
10107,,,"281504  Monitoring, Supervision and Appraisal ",,0,0,,,,"1,000,000","1,400,000",,"1,000,000","1,400,000"
10108,,,,,,,,Project  1140 NELSAP,,,,,,
10109,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10110,,,231007  Other Structures,,"4,972,000","149,694,200",,,,"11,472,000","149,694,200",,"6,500,000",0
10111,,,"281504  Monitoring, Supervision and Appraisal ",,"18,888,000",0,,,,"18,998,000","1,200,000",,"110,000","1,200,000"
10112,,,312206  Gross Tax,,0,0,,,,"2,000,000",0,,"2,000,000",0
10113,,,,,,,,Project  1144 Hoima - Kafu interconnection,,,,,,
10114,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10115,,,281503  Engineering and Design Studies and Pl,,"3,000,000",0,,,,"3,000,000","2,500,000",,0,"2,500,000"
10116,,,,,,,,Project  1149 UETCL/Statnett Twinning Arrangement - Phase II,,,,,,
10117,,,,,,,"Output:030101 Energy Policy/Plans  Dissemination, Regulation and Monitoring",,,,,,,
10118,,,224002  General Supply of Goods and Services,,"4,930,000",0,,,,"4,930,000",0,,0,0
10119,,,,,,,,Project  1198 Modern Energy from Biomass for Rural Development,,,,,,
10120,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10121,,,,,,,,,,,,Vote:017,,
10122,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10123,,"Vote Function 0301 Energy Planning,Management & Infrastructure Dev't",,,,,,,,,,,,
10124,,,,,,,,Project  1198 Modern Energy from Biomass for Rural Development,,,,,,
10125,,,,,,,"Output:030101 Energy Policy/Plans  Dissemination, Regulation and Monitoring",,,,,,,
10126,,,221001  Advertising and Public Relations,,0,0,,,,"10,000",0,,"10,000",0
10127,,,221002  Workshops and Seminars,,0,0,,,,"60,000",0,,"60,000",0
10128,,,225001  Consultancy Services- Short-term,,0,0,,,,"150,000","80,000",,"150,000","80,000"
10129,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"40,000","40,000",,"40,000","40,000"
10130,,,228002  Maintenance - Vehicles,,0,0,,,,"40,000","12,000",,"40,000","12,000"
10131,,,,,,,Output:030103 Renewable Energy Promotion,,,,,,,
10132,,,211103  Allowances,,0,0,,,,"12,000","20,000",,"12,000","20,000"
10133,,,221002  Workshops and Seminars,,0,0,,,,"24,000","30,000",,"24,000","30,000"
10134,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"16,000","18,000",,"16,000","18,000"
10135,,,221012  Small Office Equipment,,0,0,,,,"12,000",0,,"12,000",0
10136,,,222001  Telecommunications,,0,0,,,,"8,000","20,000",,"8,000","20,000"
10137,,,225001  Consultancy Services- Short-term,,0,0,,,,"500,000","297,000",,"500,000","297,000"
10138,,,227001  Travel Inland,,0,0,,,,"80,000","96,000",,"80,000","96,000"
10139,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"24,000","75,000",,"24,000","75,000"
10140,,,228002  Maintenance - Vehicles,,0,0,,,,"24,000","48,000",,"24,000","48,000"
10141,,,,,,,"Output:030176 Purchase of Office and ICT Equipment, including  Software",,,,,,,
10142,,,,,,,,,,,"190,000",,,
10143,,,,,,,Output:030177 Purchase of Specialised Machinery & Equipment,,,,,,,
10144,,,,,,,,,,,"1,471,000",,,
10145,,,,,,,Output:030178 Purchase of Office and Residential Furniture and Fittings,,,,,,,
10146,,,,,,,,,,,"100,000",,,
10147,,,,,,,,,,,"1,761,000",,,
10148,,,,,,,,Project  1212 Electricity Sector Development Project,,,,,,
10149,,,,,,,"Output:030101 Energy Policy/Plans  Dissemination, Regulation and Monitoring",,,,,,,
10150,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"100,000",0,,"100,000",0
10151,,,211103  Allowances,,0,0,,,,"12,000",0,,"12,000",0
10152,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10153,,,,,,,,,,,,Vote:017,,
10154,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10155,,"Vote Function 0301 Energy Planning,Management & Infrastructure Dev't",,,,,,,,,,,,
10156,,,,,,,,Project  1212 Electricity Sector Development Project,,,,,,
10157,,,227001  Travel Inland,,0,0,,,,"6,000","40,000",,"6,000","40,000"
10158,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"10,000","20,000",,"10,000","20,000"
10159,,,,,,,Output:030102 Energy Efficiency Promotion,,,,,,,
10160,,,227001  Travel Inland,,0,0,,,,"10,000","65,000",,"10,000","65,000"
10161,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"10,000","15,000",,"10,000","15,000"
10162,,,,,,,Output:030103 Renewable Energy Promotion,,,,,,,
10163,,,,,,,,,,,"660,000",,,
10164,,,,,,,Output:030104 Increased Rural Electrification,,,,,,,
10165,,,225002  Consultancy Services- Long-term,,0,"1,960,000",,,,"106,000","2,360,000",,"106,000","400,000"
10166,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10167,,,231007  Other Structures,,"18,187,000","21,995,388",,,,"42,187,000","21,995,388",,"24,000,000",0
10168,,,"281504  Monitoring, Supervision and Appraisal ",,0,0,,,,"746,000",0,,"746,000",0
10169,,,312206  Gross Tax,,0,0,,,,"2,000,000","8,000,000",,"2,000,000","8,000,000"
10170,,,,,,,,Project  1221 Opuyo Moroto Interconnection Project ,,,,,,
10171,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10172,,,231007  Other Structures,,0,0,,,,"7,000,000",0,,"7,000,000",0
10173,,,"281504  Monitoring, Supervision and Appraisal ",,"8,830,000",0,,,,"9,740,000","500,000",,"910,000","500,000"
10174,,,312206  Gross Tax,,0,0,,,,"1,000,000",0,,"1,000,000",0
10175,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10176,,,,,,,,,,,,Vote:017,,
10177,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10178,,"Vote Function 0301 Energy Planning,Management & Infrastructure Dev't",,,,,,,,,,,,
10179,,,,,,,,Project  1221 Opuyo Moroto Interconnection Project ,,,,,,
10180,,,,,,,,Project  1222 Electrification of Industrial Parks Project,,,,,,
10181,,,,,,,Output:030179 Acquisition of Other Capital Assets,,,,,,,
10182,,,231007  Other Structures,,0,0,,,,"10,000,000",0,,"10,000,000",0
10183,,,"281504  Monitoring, Supervision and Appraisal ",,"4,530,000",0,,,,"5,570,000","500,000",,"1,040,000","500,000"
10184,,,312206  Gross Tax,,0,0,,,,"1,000,000",0,,"1,000,000",0
10185,,,,,,,,Project  1257 Mirama-Kikagati-Nshungyenzi Transmission Line,,,,,,
10186,,,,,,,Output:030171 Acquisition of Land by Government,,,,,,,
10187,,,,,,,,,,,"2,284,600",,,
10188,,,,,,,,,,,"2,284,600",,,
10189,,,,,,,,,,,"2,284,600",,,
10190,,,,,,,,,,,"2,284,600",,,
10191,,,,,,,,Project  1259 Kampala-Entebbe Expansion Project,,,,,,
10192,,,,,,,Output:030171 Acquisition of Land by Government,,,,,,,
10193,,,,,,,,,,,"2,000,000",,,
10194,,,,,,,,,,,"2,000,000",,,
10195,,,,,,,,,,,"2,000,000",,,
10196,,,,,,,,,,,"2,000,000",,,
10197,,,,,,,,,,,Total,,,
10198,,,,,,,,,,"409,700,854",,,,
10199,,,,,,,,,,"392,700,854",,,,
10200,,Vote Function 0302 Large Hydro power infrastructure,,,,,,,,,,,,
10201,Development Budget Estimates,,,,,,,,,,,,,
10202,,,,,,,,Project  1183 Karuma Hydoelectricity Power Project,,,,,,
10203,,,,,,,Output:030251 Increased power generation - Largescale Hydro-electric,,,,,,,
10204,,,312206  Gross Tax,,0,0,,,,"5,000,000",0,,"5,000,000",0
10205,,,,,,,Output:030280 Large Hydro Power Infrastructure,,,,,,,
10206,,,231007  Other Structures,,0,0,,,,"1,043,600,000","1,091,900,000",,"1,043,600,000","1,091,900,000"
10207,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10208,,,,,,,,,,,,Vote:017,,
10209,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10210,,Vote Function 0302 Large Hydro power infrastructure,,,,,,,,,,,,
10211,,,,,,,,Project  1183 Karuma Hydoelectricity Power Project,,,,,,
10212,,,,,,,,Project  1256 Ayago Interconnection Project,,,,,,
10213,,,,,,,Output:030271 Acquisition of Land by Government,,,,,,,
10214,,,,,,,,,,,"1,344,800",,,
10215,,,,,,,,,,,"1,344,800",,,
10216,,,,,,,,,,,"1,344,800",,,
10217,,,,,,,,,,,"1,344,800",,,
10218,,,,,,,,,,,Total,,,
10219,,,,,,,,,,"1,048,600,000",,,,
10220,,,,,,,,,,"1,043,600,000",,,,
10221,,"Vote Function 0303 Petroleum Exploration, Development & Production",,,,,,,,,,,,
10222,Recurrent Budget Estimates,,,,,,,,,,,,,
10223,,,,,,,,Programme  04 Petroleum Exploration Production Department,,,,,,
10224,,,,,,,Output:030301 Promotion of the country's petroleum potential and licensing,,,,,,,
10225,,,211101  General Staff Salaries,,0,0,,,,"51,963","51,963",,"51,963","51,963"
10226,,,221001  Advertising and Public Relations,,"25,320","33,400",,,,"25,320","33,400",,0,0
10227,,,221003  Staff Training,,"34,000","34,000",,,,"34,000","34,000",,0,0
10228,,,221008  Computer Supplies and IT Services,,"25,000","25,000",,,,"25,000","25,000",,0,0
10229,,,221009  Welfare and Entertainment,,"3,500","6,000",,,,"3,500","6,000",,0,0
10230,,,"221011  Printing, Stationery, Photocopying and ",,"24,782","28,671",,,,"24,782","28,671",,0,0
10231,,,221017  Subscriptions,,"5,542","5,542",,,,"5,542","5,542",,0,0
10232,,,222001  Telecommunications,,"7,380","7,380",,,,"7,380","7,380",,0,0
10233,,,222002  Postage and Courier,,"5,000","5,000",,,,"5,000","5,000",,0,0
10234,,,223005  Electricity,,"2,200","2,200",,,,"2,200","2,200",,0,0
10235,,,223006  Water,,550,550,,,,550,550,,0,0
10236,,,227001  Travel Inland,,"52,363","37,363",,,,"52,363","37,363",,0,0
10237,,,227002  Travel Abroad,,"79,378","54,378",,,,"79,378","54,378",,0,0
10238,,,"227004  Fuel, Lubricants and Oils",,"24,505","30,505",,,,"24,505","30,505",,0,0
10239,,,228002  Maintenance - Vehicles,,"9,721",11,,,,"9,721",11,,0,0
10240,,,,,,,Output:030302 Initiate and formulate petroleum policy and legislation,,,,,,,
10241,,,211101  General Staff Salaries,,0,0,,,,"36,543","36,543",,"36,543","36,543"
10242,,,211103  Allowances,,"17,210","22,210",,,,"17,210","22,210",,0,0
10243,,,"221011  Printing, Stationery, Photocopying and ",,"3,600","13,600",,,,"3,600","13,600",,0,0
10244,,,222001  Telecommunications,,"2,110","6,110",,,,"2,110","6,110",,0,0
10245,,,227001  Travel Inland,,"18,080","28,080",,,,"18,080","28,080",,0,0
10246,,,,,,,Output:030303 Capacity Building for the oil & gas sector,,,,,,,
10247,,,211101  General Staff Salaries,,0,0,,,,"58,388","58,388",,"58,388","58,388"
10248,,,211103  Allowances,,"10,260","10,260",,,,"10,260","10,260",,0,0
10249,,,"213002  Incapacity, death benefits and funeral e",,"6,000","6,000",,,,"6,000","6,000",,0,0
10250,,,221003  Staff Training,,"119,190","104,000",,,,"119,190","104,000",,0,0
10251,,,"221007  Books, Periodicals and Newspapers",,"4,000","4,000",,,,"4,000","4,000",,0,0
10252,,,221009  Welfare and Entertainment,,"2,400","2,400",,,,"2,400","2,400",,0,0
10253,,,"221011  Printing, Stationery, Photocopying and ",,"2,100","2,100",,,,"2,100","2,100",,0,0
10254,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10255,,,,,,,,,,,,Vote:017,,
10256,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10257,,"Vote Function 0303 Petroleum Exploration, Development & Production",,,,,,,,,,,,
10258,,,,,,,,Programme  04 Petroleum Exploration Production Department,,,,,,
10259,,,222001  Telecommunications,,"1,640","1,640",,,,"1,640","1,640",,0,0
10260,,,223005  Electricity,,800,800,,,,800,800,,0,0
10261,,,223006  Water,,200,200,,,,200,200,,0,0
10262,,,226001  Insurances,,"3,600","3,600",,,,"3,600","3,600",,0,0
10263,,,,,,,Output:030304 Monitoring Upstream petroleum activities,,,,,,,
10264,,,211101  General Staff Salaries,,0,0,,,,"117,783","117,783",,"117,783","117,783"
10265,,,221008  Computer Supplies and IT Services,,"4,800","4,800",,,,"4,800","4,800",,0,0
10266,,,"221011  Printing, Stationery, Photocopying and ",,"17,800","24,800",,,,"17,800","24,800",,0,0
10267,,,222001  Telecommunications,,"1,800","1,800",,,,"1,800","1,800",,0,0
10268,,,223005  Electricity,,600,600,,,,600,600,,0,0
10269,,,223006  Water,,480,480,,,,480,480,,0,0
10270,,,227001  Travel Inland,,"172,520","181,520",,,,"172,520","181,520",,0,0
10271,,,228002  Maintenance - Vehicles,,"31,000","50,000",,,,"31,000","50,000",,0,0
10272,,,,,,,Output:030305 Develop and implement a communication strategy for oil & gas in the country,,,,,,,
10273,,,211101  General Staff Salaries,,0,0,,,,"18,120","18,120",,"18,120","18,120"
10274,,,211103  Allowances,,"1,990","1,990",,,,"1,990","1,990",,0,0
10275,,,221001  Advertising and Public Relations,,"9,000","22,000",,,,"9,000","22,000",,0,0
10276,,,221008  Computer Supplies and IT Services,,"18,400","18,400",,,,"18,400","18,400",,0,0
10277,,,"221011  Printing, Stationery, Photocopying and ",,520,520,,,,520,520,,0,0
10278,,,222001  Telecommunications,,420,420,,,,420,420,,0,0
10279,,,222002  Postage and Courier,,500,500,,,,500,500,,0,0
10280,,,,,,,Output:030306 Participate in Regional Initiatives,,,,,,,
10281,,,211101  General Staff Salaries,,0,0,,,,"36,819","36,819",,"36,819","36,819"
10282,,,211103  Allowances,,"5,000","5,000",,,,"5,000","5,000",,0,0
10283,,,"221005  Hire of Venue (chairs, projector etc)",,"2,500","2,500",,,,"2,500","2,500",,0,0
10284,,,"221011  Printing, Stationery, Photocopying and ",,"16,000","10,000",,,,"16,000","10,000",,0,0
10285,,,222001  Telecommunications,,840,840,,,,840,840,,0,0
10286,,,227001  Travel Inland,,"39,018","17,500",,,,"39,018","17,500",,0,0
10287,,,227002  Travel Abroad,,"128,453","74,160",,,,"128,453","74,160",,0,0
10288,,,"227004  Fuel, Lubricants and Oils",,"5,000","5,000",,,,"5,000","5,000",,0,0
10289,,,228002  Maintenance - Vehicles,,"5,000","5,000",,,,"5,000","5,000",,0,0
10290,Development Budget Estimates,,,,,,,,,,,,,
10291,,,,,,,,Project  1142 Management of the Oil and Gas Sector in Uganda,,,,,,
10292,,,,,,,Output:030301 Promotion of the country's petroleum potential and licensing,,,,,,,
10293,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"96,000","210,876",,"96,000","210,876"
10294,,,211103  Allowances,,0,0,,,,"2,620","2,590",,"2,620","2,590"
10295,,,212101  Social Security Contributions (NSSF),,0,0,,,,"9,600","9,600",,"9,600","9,600"
10296,,,213004  Gratuity Payments,,0,0,,,,"24,000","24,000",,"24,000","24,000"
10297,,,221002  Workshops and Seminars,,"73,200","80,000",,,,"85,200","92,000",,"12,000","12,000"
10298,,,221003  Staff Training,,"160,000","180,300",,,,"165,000","385,300",,"5,000","205,000"
10299,,,"221007  Books, Periodicals and Newspapers",,0,0,,,,"2,000","2,000",,"2,000","2,000"
10300,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10301,,,221008  Computer Supplies and IT Services,,0,0,,,,"12,000","12,000",,"12,000","12,000"
10302,,,,,,,,,,,,Vote:017,,
10303,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10304,,"Vote Function 0303 Petroleum Exploration, Development & Production",,,,,,,,,,,,
10305,,,,,,,,Project  1142 Management of the Oil and Gas Sector in Uganda,,,,,,
10306,,,221017  Subscriptions,,0,0,,,,"3,500","3,624",,"3,500","3,624"
10307,,,225001  Consultancy Services- Short-term,,"256,000",0,,,,"256,000",0,,0,0
10308,,,227001  Travel Inland,,0,0,,,,"45,600","225,630",,"45,600","225,630"
10309,,,227002  Travel Abroad,,"18,000","20,000",,,,"44,000","131,000",,"26,000","111,000"
10310,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"34,680","34,680",,"34,680","34,680"
10311,,,,,,,Output:030302 Initiate and formulate petroleum policy and legislation,,,,,,,
10312,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"96,000","168,701",,"96,000","168,701"
10313,,,212101  Social Security Contributions (NSSF),,0,0,,,,"9,600","9,600",,"9,600","9,600"
10314,,,213004  Gratuity Payments,,0,0,,,,"24,000","24,000",,"24,000","24,000"
10315,,,221002  Workshops and Seminars,,"225,000","205,000",,,,"225,000","205,000",,0,0
10316,,,221003  Staff Training,,"47,000","48,000",,,,"67,000","68,000",,"20,000","20,000"
10317,,,221008  Computer Supplies and IT Services,,0,0,,,,"12,000","12,000",,"12,000","12,000"
10318,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"22,000","22,000",,"22,000","22,000"
10319,,,225001  Consultancy Services- Short-term,,"327,000",0,,,,"327,000",0,,0,0
10320,,,227001  Travel Inland,,0,0,,,,"6,000","46,000",,"6,000","46,000"
10321,,,227002  Travel Abroad,,0,0,,,,"45,000","79,099",,"45,000","79,099"
10322,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"15,600","25,600",,"15,600","25,600"
10323,,,228002  Maintenance - Vehicles,,0,0,,,,"1,800","15,000",,"1,800","15,000"
10324,,,,,,,Output:030303 Capacity Building for the oil & gas sector,,,,,,,
10325,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"96,000","105,438",,"96,000","105,438"
10326,,,211103  Allowances,,"6,000","6,000",,,,"1,570,417","2,057,000",,"1,564,417","2,051,000"
