Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Budget Function,Programme
Recurrent Budget Estimates,TORORO District,Central Government,"184,600",321444  Conditional transfers to Salary and Gratuity for LG elected Political Leaders,2015/16 Draft Estimates,Vote:554,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,TORORO District,Central Government,"73,142",321439  Conditional transfers to DSC Operational Costs,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,TORORO District,Central Government,"28,120","321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,TORORO District,Central Government,"5,212",o/w Contracts Committee,2015/16 Draft Estimates,Vote:554,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,TORORO District,Central Government,"7,903",o/w District Land Board,2015/16 Draft Estimates,Vote:554,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,TORORO District,Central Government,"15,005",o/w PAC,2015/16 Draft Estimates,Vote:554,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,TORORO District,Central Government,"24,336",321410  Conditional Grant to DSC Chairs’ Salaries,2015/16 Draft Estimates,Vote:554,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,TORORO District,Central Government,"262,297",321448  Conditional transfers to Production and Marketing,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  04 Production
Recurrent Budget Estimates,TORORO District,Central Government,"160,514",321408  Conditional Grant to Agric. Ext Salaries,2015/16 Draft Estimates,Vote:554,,Wage,Programme  04 Production
Recurrent Budget Estimates,TORORO District,Central Government,"343,236",321418  Conditional Grant to NGO Hospitals,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,TORORO District,Central Government,"289,246",321417  Conditional Grant to District Hospitals,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,TORORO District,Central Government,"283,879",321413  Conditional Grant to PHC- Non wage,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,TORORO District,Central Government,"3,914,035",321407  Conditional Grant to PHC Salaries,2015/16 Draft Estimates,Vote:554,,Wage,Programme  05 Health
Recurrent Budget Estimates,TORORO District,Central Government,"302,065",321462  Conditional Transfers for Primary Teachers Colleges,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,TORORO District,Central Government,"134,200",321461  Conditional Transfers for Non Wage Technical Institutes,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,TORORO District,Central Government,"196,000",321457  Conditional Transfers for Non Wage Technical & Farm Schools,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,TORORO District,Central Government,"44,117",321447  Conditional transfers to School Inspection Grant,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,TORORO District,Central Government,"20,401",o/w DEO Operational Costs,2015/16 Draft Estimates,Vote:554,321447  Conditional transfers to School Inspection Grant,Non Wage,Programme  06 Education
Recurrent Budget Estimates,TORORO District,Central Government,"2,419,488",321419  Conditional Grant to Secondary Education,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,TORORO District,Central Government,"1,303,543",321411  Conditional Grant to Primary Education,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,TORORO District,Central Government,"2,452,167",321406  Conditional Grant to Secondary Salaries,2015/16 Draft Estimates,Vote:554,,Wage,Programme  06 Education
Recurrent Budget Estimates,TORORO District,Central Government,"10,776,205",321405  Conditional Grant to Primary Salaries,2015/16 Draft Estimates,Vote:554,,Wage,Programme  06 Education
Recurrent Budget Estimates,TORORO District,Central Government,"751,004",321404  Conditional Grant to Tertiary Salaries,2015/16 Draft Estimates,Vote:554,,Wage,Programme  06 Education
Recurrent Budget Estimates,TORORO District,Central Government,"22,000",321449  Sanitation and Hygiene,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,TORORO District,Central Government,"103,625",321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,TORORO District,Central Government,"41,468",321446  Conditional transfers to Special Grant for PWDs,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,TORORO District,Central Government,"19,862",321437  Conditional Grant to Women Youth and Disability Grant,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,TORORO District,Central Government,"3,972",o/w Disability,2015/16 Draft Estimates,Vote:554,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,TORORO District,Central Government,"7,945",o/w Women,2015/16 Draft Estimates,Vote:554,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,TORORO District,Central Government,"7,945",o/w Youth,2015/16 Draft Estimates,Vote:554,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,TORORO District,Central Government,"27,418",321434  Conditional Grant to Community Devt Assistants Non Wage,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,TORORO District,Central Government,"21,902",o/w CBR,2015/16 Draft Estimates,Vote:554,321434  Conditional Grant to Community Devt Assistants Non Wage,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,TORORO District,Central Government,"21,775",321420  Conditional Grant to Functional Adult Lit,2015/16 Draft Estimates,Vote:554,,Non Wage,Programme  09 Community Based Services
Development Budget Estimates,TORORO District,Central Government,"936,563",321426  LGMSD (Former LGDP),2015/16 Draft Estimates,Vote:554,,Dev't,Project  0115 LGDP FUND
Development Budget Estimates,TORORO District,Central Government,"46,448",o/w Malaba T.C,2015/16 Draft Estimates,Vote:554,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,TORORO District,Central Government,"24,814",o/w Nagongera T.C,2015/16 Draft Estimates,Vote:554,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,TORORO District,Central Government,"672,530",321428  Conditional transfer for Rural Water,2015/16 Draft Estimates,Vote:554,,Dev't,Project  0156 RURAL WATER AND SANITATION
Development Budget Estimates,TORORO District,Central Government,"150,522",321431  Conditional Grant to PHC - development,2015/16 Draft Estimates,Vote:554,,Dev't,Project  0422 PRIMARY HEALTH CARE
Development Budget Estimates,TORORO District,Central Government,"419,674",321433  Conditional Grant to SFG,2015/16 Draft Estimates,Vote:554,,Dev't,Project  0423 SCHOOL CONSTRUCTION PROGRAMME
Development Budget Estimates,TORORO District,Central Government,"417,905",321412  Roads Rehabilitation Grant,2015/16 Draft Estimates,Vote:554,,Dev't,Project  1168 ROAD REHABILITATION GRANT
Development Budget Estimates,TORORO District,Central Government,"114,216",321452  Construction of Secondary Schools,2015/16 Draft Estimates,Vote:554,,Dev't,Project  1214 SECONDARY SCHOOL CONSTRUCTION
Recurrent Budget Estimates,WAKISO District,Central Government,"2,895,465",321451  Transfer of District Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:555,,Wage,Programme  01 Administration
Recurrent Budget Estimates,WAKISO District,Central Government,"1,455,201",321402  Urban Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,WAKISO District,Central Government,"73,539",o/w Kakiri T.C,2015/16 Draft Estimates,Vote:555,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,WAKISO District,Central Government,"740,483",o/w Kira T.C,2015/16 Draft Estimates,Vote:555,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,WAKISO District,Central Government,"59,969",o/w Masulita T.C,2015/16 Draft Estimates,Vote:555,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,WAKISO District,Central Government,"60,864",o/w Namayumba T.C,2015/16 Draft Estimates,Vote:555,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,WAKISO District,Central Government,"365,221",o/w Nansana T.C,2015/16 Draft Estimates,Vote:555,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,WAKISO District,Central Government,"155,124",o/w Wakiso T.C,2015/16 Draft Estimates,Vote:555,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,WAKISO District,Central Government,"2,119,817",321401  District Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,WAKISO District,Central Government,"30,000",221016  IFMS Recurrent Costs,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,WAKISO District,Central Government,"108,298",321427  Conditional Grant to PAF monitoring,2015/16 Draft Estimates,Vote:555,,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,WAKISO District,Central Government,"76,823",o/w Normal PAF Monitoring & Accountability,2015/16 Draft Estimates,Vote:555,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,WAKISO District,Central Government,"31,475",o/w Printing of Payslips,2015/16 Draft Estimates,Vote:555,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,WAKISO District,Central Government,"208,309",321445  Conditional transfers to Councillors allowances and Ex- Gratia for LLGs,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,WAKISO District,Central Government,"170,352",321444  Conditional transfers to Salary and Gratuity for LG elected Political Leaders,2015/16 Draft Estimates,Vote:555,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,WAKISO District,Central Government,"90,857",321439  Conditional transfers to DSC Operational Costs,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,WAKISO District,Central Government,"28,120","321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,WAKISO District,Central Government,"5,212",o/w Contracts Committee,2015/16 Draft Estimates,Vote:555,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,WAKISO District,Central Government,"7,903",o/w District Land Board,2015/16 Draft Estimates,Vote:555,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,WAKISO District,Central Government,"15,005",o/w PAC,2015/16 Draft Estimates,Vote:555,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,WAKISO District,Central Government,"24,336",321410  Conditional Grant to DSC Chairs’ Salaries,2015/16 Draft Estimates,Vote:555,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,WAKISO District,Central Government,"351,248",321448  Conditional transfers to Production and Marketing,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  04 Production
Recurrent Budget Estimates,WAKISO District,Central Government,"7,200",o/w Trade and Commercial Services,2015/16 Draft Estimates,Vote:555,321448  Conditional transfers to Production and Marketing,Non Wage,Programme  04 Production
Recurrent Budget Estimates,WAKISO District,Central Government,"191,671",321408  Conditional Grant to Agric. Ext Salaries,2015/16 Draft Estimates,Vote:555,,Wage,Programme  04 Production
Recurrent Budget Estimates,WAKISO District,Central Government,"366,881",321418  Conditional Grant to NGO Hospitals,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,WAKISO District,Central Government,"208,945",321417  Conditional Grant to District Hospitals,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,WAKISO District,Central Government,"769,825",321413  Conditional Grant to PHC- Non wage,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,WAKISO District,Central Government,"4,707,822",321407  Conditional Grant to PHC Salaries,2015/16 Draft Estimates,Vote:555,,Wage,Programme  05 Health
Recurrent Budget Estimates,WAKISO District,Central Government,"591,060",321462  Conditional Transfers for Primary Teachers Colleges,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"134,200",321461  Conditional Transfers for Non Wage Technical Institutes,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"326,125",321457  Conditional Transfers for Non Wage Technical & Farm Schools,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"128,000",321455  Conditional Transfers for Non Wage Community Polytechnics,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"169,200",321447  Conditional transfers to School Inspection Grant,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"76,245",o/w DEO Operational Costs,2015/16 Draft Estimates,Vote:555,321447  Conditional transfers to School Inspection Grant,Non Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"4,400,511",321419  Conditional Grant to Secondary Education,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"1,140,658",321411  Conditional Grant to Primary Education,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"8,456,410",321406  Conditional Grant to Secondary Salaries,2015/16 Draft Estimates,Vote:555,,Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"15,662,498",321405  Conditional Grant to Primary Salaries,2015/16 Draft Estimates,Vote:555,,Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"492,611",321404  Conditional Grant to Tertiary Salaries,2015/16 Draft Estimates,Vote:555,,Wage,Programme  06 Education
Recurrent Budget Estimates,WAKISO District,Central Government,"22,000",321449  Sanitation and Hygiene,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,WAKISO District,Central Government,"512,205",321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,WAKISO District,Central Government,"500,000",o/w Support for Physical Planning Activities,2015/16 Draft Estimates,Vote:555,321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,WAKISO District,Central Government,"389,910",321424  Conditional Grant to Urban Water,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,WAKISO District,Central Government,"389,910",o/w Umbrella,2015/16 Draft Estimates,Vote:555,321424  Conditional Grant to Urban Water,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,WAKISO District,Central Government,"87,694",321446  Conditional transfers to Special Grant for PWDs,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,WAKISO District,Central Government,"42,003",321437  Conditional Grant to Women Youth and Disability Grant,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,WAKISO District,Central Government,"8,401",o/w Disability,2015/16 Draft Estimates,Vote:555,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,WAKISO District,Central Government,"16,801",o/w Women,2015/16 Draft Estimates,Vote:555,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,WAKISO District,Central Government,"16,801",o/w Youth,2015/16 Draft Estimates,Vote:555,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,WAKISO District,Central Government,"34,720",321434  Conditional Grant to Community Devt Assistants Non Wage,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,WAKISO District,Central Government,"23,055",o/w CBR,2015/16 Draft Estimates,Vote:555,321434  Conditional Grant to Community Devt Assistants Non Wage,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,WAKISO District,Central Government,"46,048",321420  Conditional Grant to Functional Adult Lit,2015/16 Draft Estimates,Vote:555,,Non Wage,Programme  09 Community Based Services
Development Budget Estimates,WAKISO District,Central Government,"2,040,057",321426  LGMSD (Former LGDP),2015/16 Draft Estimates,Vote:555,,Dev't,Project  0115 LGDP FUND
Development Budget Estimates,WAKISO District,Central Government,"45,600",o/w Kakiri T.C,2015/16 Draft Estimates,Vote:555,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,WAKISO District,Central Government,"251,107",o/w Kiira T.C,2015/16 Draft Estimates,Vote:555,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,WAKISO District,Central Government,"26,050",o/w Masulita T.C,2015/16 Draft Estimates,Vote:555,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,WAKISO District,Central Government,"40,559",o/w Namayumba T.C,2015/16 Draft Estimates,Vote:555,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,WAKISO District,Central Government,"123,350",o/w Nansana T.C,2015/16 Draft Estimates,Vote:555,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,WAKISO District,Central Government,"84,000",o/w Wakiso T.C,2015/16 Draft Estimates,Vote:555,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,WAKISO District,Central Government,"676,876",321428  Conditional transfer for Rural Water,2015/16 Draft Estimates,Vote:555,,Dev't,Project  0156 RURAL WATER AND SANITATION
Development Budget Estimates,WAKISO District,Central Government,"41,374",321431  Conditional Grant to PHC - development,2015/16 Draft Estimates,Vote:555,,Dev't,Project  0422 PRIMARY HEALTH CARE
Development Budget Estimates,WAKISO District,Central Government,"206,737",321433  Conditional Grant to SFG,2015/16 Draft Estimates,Vote:555,,Dev't,Project  0423 SCHOOL CONSTRUCTION PROGRAMME
Development Budget Estimates,WAKISO District,Central Government,"9,500,000",321412  Roads Rehabilitation Grant,2015/16 Draft Estimates,Vote:555,,Dev't,Project  1168 ROAD REHABILITATION GRANT
Development Budget Estimates,WAKISO District,Central Government,"40,000",321452  Construction of Secondary Schools,2015/16 Draft Estimates,Vote:555,,Dev't,Project  1214 SECONDARY SCHOOL CONSTRUCTION
Recurrent Budget Estimates,YUMBE District,Central Government,"30,836",321463  Urban Equalisation Grant,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,YUMBE District,Central Government,"30,836",o/w Yumbe T.C,2015/16 Draft Estimates,Vote:556,321463  Urban Equalisation Grant,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,YUMBE District,Central Government,"1,183,138",321451  Transfer of District Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:556,,Wage,Programme  01 Administration
Recurrent Budget Estimates,YUMBE District,Central Government,"138,552",321450  Transfer of Urban Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:556,,Wage,Programme  01 Administration
Recurrent Budget Estimates,YUMBE District,Central Government,"192,573",321403  District Equalisation Grant,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,YUMBE District,Central Government,"120,579",321402  Urban Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,YUMBE District,Central Government,"120,579",o/w Yumbe T.C,2015/16 Draft Estimates,Vote:556,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,YUMBE District,Central Government,"876,210",321401  District Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,YUMBE District,Central Government,"84,465",321427  Conditional Grant to PAF monitoring,2015/16 Draft Estimates,Vote:556,,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,YUMBE District,Central Government,"36,148",o/w Normal PAF Monitoring & Accountability,2015/16 Draft Estimates,Vote:556,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,YUMBE District,Central Government,"33,648",o/w PRDP allocation,2015/16 Draft Estimates,Vote:556,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,YUMBE District,Central Government,"14,668",o/w Printing of Payslips,2015/16 Draft Estimates,Vote:556,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,YUMBE District,Central Government,"142,522",321445  Conditional transfers to Councillors allowances and Ex- Gratia for LLGs,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,YUMBE District,Central Government,"146,016",321444  Conditional transfers to Salary and Gratuity for LG elected Political Leaders,2015/16 Draft Estimates,Vote:556,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,YUMBE District,Central Government,"37,925",321439  Conditional transfers to DSC Operational Costs,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,YUMBE District,Central Government,"55,794","321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,YUMBE District,Central Government,"5,212",o/w Contracts Committee,2015/16 Draft Estimates,Vote:556,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,YUMBE District,Central Government,"7,903",o/w District Land Board,2015/16 Draft Estimates,Vote:556,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,YUMBE District,Central Government,"15,005",o/w PAC,2015/16 Draft Estimates,Vote:556,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,YUMBE District,Central Government,"27,674",o/w PRDP Component,2015/16 Draft Estimates,Vote:556,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,YUMBE District,Central Government,"24,336",321410  Conditional Grant to DSC Chairs’ Salaries,2015/16 Draft Estimates,Vote:556,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,YUMBE District,Central Government,"233,567",321448  Conditional transfers to Production and Marketing,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  04 Production
Recurrent Budget Estimates,YUMBE District,Central Government,"93,000",321408  Conditional Grant to Agric. Ext Salaries,2015/16 Draft Estimates,Vote:556,,Wage,Programme  04 Production
Recurrent Budget Estimates,YUMBE District,Central Government,"22,991",321418  Conditional Grant to NGO Hospitals,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,YUMBE District,Central Government,"131,577",321417  Conditional Grant to District Hospitals,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,YUMBE District,Central Government,"276,341",321413  Conditional Grant to PHC- Non wage,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,YUMBE District,Central Government,"2,845,429",321407  Conditional Grant to PHC Salaries,2015/16 Draft Estimates,Vote:556,,Wage,Programme  05 Health
Recurrent Budget Estimates,YUMBE District,Central Government,"281,551",321462  Conditional Transfers for Primary Teachers Colleges,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,YUMBE District,Central Government,"268,400",321461  Conditional Transfers for Non Wage Technical Institutes,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,YUMBE District,Central Government,"34,158",321447  Conditional transfers to School Inspection Grant,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,YUMBE District,Central Government,"15,955",o/w DEO Operational Costs,2015/16 Draft Estimates,Vote:556,321447  Conditional transfers to School Inspection Grant,Non Wage,Programme  06 Education
Recurrent Budget Estimates,YUMBE District,Central Government,"914,016",321419  Conditional Grant to Secondary Education,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,YUMBE District,Central Government,"734,609",321411  Conditional Grant to Primary Education,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,YUMBE District,Central Government,"634,588",321406  Conditional Grant to Secondary Salaries,2015/16 Draft Estimates,Vote:556,,Wage,Programme  06 Education
Recurrent Budget Estimates,YUMBE District,Central Government,"9,955,210",321405  Conditional Grant to Primary Salaries,2015/16 Draft Estimates,Vote:556,,Wage,Programme  06 Education
Recurrent Budget Estimates,YUMBE District,Central Government,"254,047",321404  Conditional Grant to Tertiary Salaries,2015/16 Draft Estimates,Vote:556,,Wage,Programme  06 Education
Recurrent Budget Estimates,YUMBE District,Central Government,"22,000",321449  Sanitation and Hygiene,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,YUMBE District,Central Government,"38,952",321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,YUMBE District,Central Government,"37,508",321446  Conditional transfers to Special Grant for PWDs,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,YUMBE District,Central Government,"17,966",321437  Conditional Grant to Women Youth and Disability Grant,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,YUMBE District,Central Government,"3,593",o/w Disability,2015/16 Draft Estimates,Vote:556,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,YUMBE District,Central Government,"7,186",o/w Women,2015/16 Draft Estimates,Vote:556,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,YUMBE District,Central Government,"7,186",o/w Youth,2015/16 Draft Estimates,Vote:556,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,YUMBE District,Central Government,"4,989",321434  Conditional Grant to Community Devt Assistants Non Wage,2015/16 Draft Estimates,Vote:556,,Non Wage,Programme  09 Community Based Services
