"","x"
"1657","SERVICE INT. POUR LES DROITS DE L HOMME"
"1658","Mission Armenia"
"1659","SC/US and World Vision"
"1660","Humedia International"
"1661","Aerzte für die Dritte Welt"
"1662","Private Voluntary Organizations"
"1663","Bangladesh Red Crescent Society"
"1664","Verein Hilfe fur Bangladesch"
"1665","Cedar Fund"
"1666","Impact Forum Norway"
"1667","CARE and SC/US"
"1668","CODEC"
"1669","ACT Alliance / Christian Commission for Development in Bangladesh"
"1670","Chars Livelihoods Programme"
"1671","Hunger Alert"
"1672","Cooperation Andina de Fomento"
"1673","Hedwin Corporation"
"1674","Zodiac of North America, Inc."
"1675","STCH"
"1676","DEMIRA"
"1677","Burundi Red Cross"
"1678","Documentation Center of  Cambodia"
"1679","Médecins du Monde France"
"1680","Instituto Cabo Verdiano de Accao Social Escolar"
"1681","BID"
"1682","United Nations International Research and Training Institute for the Advance of Women"
"1683","World Concern Development Organisation"
"1684","Sovereign Military Order of Malta"
"1685","Verein Lichtblick "
"1686","Midwest Canvas Corporation"
"1687","Mision para Cristo"
"1688","Inglesia Morava"
"1689","Pro Pac, Inc."
"1690","Den norske Advokatforening"
"1691","Barneombudet"
"1692","Landsorganisasjonen i Norge, internasj. sekret."
"1693","Universitetet i Oslo"
"1694","Steenfeldt-Foss, O. W."
"1695","NTNU"
"1696","Fundación Apoyar"
"1697","Colombia Campaign to Ban Landmines"
"1698","Oficina Panamericana de la Salud "
"1699","Universidad Nacional a Distancia, Costa Rica"
"1700","UN Committee on Missing Persons"
"1701","Equilibre"
"1702","Aviation Sans Frontieres France"
"1703","Association pour la Coopération Technique et au Développement"
"1704","Action pour le Développement Intégral au Kivu"
"1705","Panzi Hospital"
"1706","CARITAS KINDU"
"1707","De Norske Pinsemenigheters Ytremisjon"
"1708","CESADEMA"
"1709","Amis des Personnes en Détresse"
"1710","GEAD"
"1711","CARITAS TCHUMBE"
"1712","International Foundation for Education and Self Help"
"1713","Women for Women International"
"1714","CARITAS BUKAVU"
"1715","Coordinadora Nacional para la Reduccion de Desastres"
"1716","CHAINES"
"1717","Koperativ Agrikol Tibiwon"
"1718","Objectif Tiers Monde"
"1719","Aide à l''Enfance de l''Inde"
"1720","Plan Indonesia "
"1721","Kepal Perempuan"
"1722","Tzu Chi Foundation "
"1723","Stichting CARE Nederland"
"1724","Diocese of Padang"
"1725","DHL International"
"1726","Swisscontact"
"1727","Regnskogfondet"
"1728","Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation"
"1729","New Iraqi Woman Organization"
"1730","The Iraqi International Association for Civil Society"
"1731","Child's Earth Society in Iraq"
"1732","Coordination Institute Humanitarian"
"1733","Human Right Center in Iraq"
"1734","Humanity Brotherhood Association  for Human Rights"
"1735","Disabled Children's Care Organization"
"1736","Knowledge for Iraqi Women Society "
"1737","Shining Future Humanitarian Organization"
"1738","AGEF"
"1739","Iraqi Youth League"
"1740","Syrian Orthodox Church"
"1741","Democratic Iraqi Women Group"
"1742","Iraqi Southern Sun Association"
"1743","Høyskolen i Buskerud"
"1744","AMAR Foundation"
"1745","International Media Support"
"1746","Tammuz Organizataion for Social Development"
"1747","Skeiv Solidaritet"
"1748","Medical Assistance Programs International"
"1749","Global Resource Services"
"1750","Red Cross Society of the Democratic People's Republic of Korea"
"1751","Psykisk Helsevern Østfold HF v/ Norum"
"1752","KESI"
"1753","DROPS"
"1754","Faire Face"
"1755","PARD"
"1756","The Sisters of Charity"
"1757","Consolata Sisters"
"1758","Franciscan Missionary of Mary"
"1759","Evangelical Children Rehabilitation Programme"
"1760","DENAL"
"1761","Paradigm of Consciousness Ministries, Inc. "
"1762","GRET"
"1763","Catholic Commisssion for Justice and Peace"
"1764","Danish Institute for Human Rights"
"1765","Public Accounts Committee"
"1766","Press Trust / IDI"
"1767","Instituto de Estudios del Hambre "
"1768","International News Safety Institute"
"1769","The Bridge Fund"
"1770","International Pen, Writers in Prison Committee"
"1771","Forsvarets forskningsinstitutt"
"1772","Defense for Children International"
"1773","World Agency of Planetary Monitoring and Earthquake Risk Reduction"
"1774","Oxford University"
"1775","PLANAT"
"1776","Observatorio San Calixo"
"1777","Campagne Suisse Contre les Mines Antipersonnel"
"1778","Norfund"
"1779","Cluster Munition Coalition"
"1780","Compact AS"
"1781","Point of Peace"
"1782","CENTER FOR JUSTICE AND INT. LAW"
"1783","Norges Juristforbund"
"1784","International Federation of Journalists"
"1785","African Commission Human and People's Rights"
"1786","Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia"
"1787","Geneva Forum"
"1788","TERMA FOUNDATION"
"1789","Association française pour la prévention des catastrophes naturelles"
"1790","INST. UNIV. DE HAUTES ETUDES INT."
"1791","PSO"
"1792","Alnour Wal Amal Association"
"1793","CANADEM"
"1794","Samis"
"1795","Estonian Public Service Academy"
"1796","Just Associates"
"1797","Thue & Selvaag AS"
"1798","Abo Akademi University"
"1799","Kings College London"
"1800","Den norske Helsingforskomite"
"1801","Centre for Safety and Development"
"1802","Det Norske Menneskerettighetsfond"
"1803","The Graduate Center"
"1804","ARESA"
"1805","Front Line"
"1806","FED. I. D. Ligues/Droits l'homme"
"1807","The Rafto Foundation"
"1808","NUPI - Norsk utenr.pol. inst. "
"1809","Interpeace"
"1810","World Meteorological Organization"
"1811","Taiwan Grassroots Women Workers' Centre"
"1812","Canadian Journalists Free Expression"
"1813","Citizens Network for Foreign Affairs"
"1814","ADA"
"1815","Irish Centre for Human Rights"
"1816","ASSOCIATION MEDICALE FRANCO-ASIATIQUE"
"1817","The Southasia Trust"
"1818","Nicaragua"
"1819","Civic Assistance Committee"
"1820","Key Stone"
"1821","Children's Fund of North Ossetia"
"1822","Sunnaas sykehus HF, Forskningsavdelingen"
"1823","Right to Live Society"
"1824","Oman"
"1825","Energy Regulators Regional Association"
"1826","ABC Children's Aid"
"1827","Blés du désert"
"1828","The Church of Jesus Christ of Latter-Day Saints"
"1829","Foundation Vida Peru"
"1830","Samusocial Peru"
"1831","Christian Friends of Korea"
"1832","Association Luxembourg Pérou"
"1833","Commission d'Entraide pour les Migrants et les Refugies International"
"1834","Médecins d'Afrique"
"1835","Agence d'Assistance aux Rapatries et Refugies au Congo"
"1836","Solomon Islands Red Cross"
"1837","Hadia Medical"
"1838","Rural Development Foundation"
"1839","Community Trust Fund"
"1840","RCO"
"1841","Al Zubair Charity Organisation"
"1842","Volontariato Internazionale per lo Sviluppo"
"1843","Near East Foundation"
"1844","Sudan Social Development Organization "
"1845","War Child "
"1846","MANNA"
"1847","Humanitarian Aid Relief Trust"
"1848","Joint Mediation Support Team"
"1849","Normeca AS"
"1850","Alola Foundation"
"1851","Caritas Australia"
"1852","Light Force International"
"1853","Lion Aid"
"1854","World Vision Uganda"
"1855","ISP IN AFRICA"
"1856","Candle Light"
"1857","International Humanitarian Service"
"1858","Transparencia Venezuela"
"1859","GRONSUND, STEIN OVE"
"1860","Centre for International Studies and Cooperation "
"1861","Tambanevana Children's Association"
"1862","Jairos Jiri Association"
"1863","STEP Afghanistan"
"1864","Ministry of Agriculture, Irrigation and Livestock Afghanistan"
"1865","Afghanistan Demain"
"1866","Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA)"
"1867","Hilfswerk Liechtenstein"
"1868","FUNDACION CIPPEC"
"1869","Comision de Derechos Humanos"
"1870","Flakstad Kommune"
"1871","BOLHISPANIA"
"1872","Matrix International"
"1873","Coof Ouagadougou"
"1874","Association Persis Valais"
"1875","Association Idée-elles"
"1876","Avenir pour les orphelins au Burundi"
"1877","PIAL"
"1878","Council of Churches"
"1879","Unspecified"
"1880","JUPEDEC (United Youth for the Protection of the Environment and Community Development)"
"1881","Medical Teams International"
"1882","Northwest Woolen Mills"
"1883","Deutscher Entwicklungsdienst"
"1884","NGO Mondo"
"1885","Swedish Tibetan Society for School & Culture"
"1886","GlobalMedic"
"1887","Plan Canada"
"1888","Croatian Red Cross"
"1889","China Association for NGO Cooperation"
"1890","China Centre for Disease Control and  Asia-Australia Mental Health"
"1891","Kriminalomsorg.utdanningssent"
"1892","ARTICLE 19"
"1893","Fundación Mi Sangre"
"1894","Campana Colombiana Contra Minas"
"1895","LIDEAS DRC"
"1896","War Child Canada"
"1897","CARITAS MBUJIMAYI"
"1898","SADRI"
"1899","Pain Pour Les Déshérités (PPLD)"
"1900","APEDE"
"1901","BDD BUKAVU"
"1902","Action de lutte contre la pollution des sources et des puits"
"1903","Centre de Développement Intégral (CDI/Yakoma)"
"1904","Action Contre la Pauvreté (ACP)"
"1905","Action pour le Bien Etre Communautaire (ABC)"
"1906","CEDI"
"1907","Armée du salut"
"1908","Commission diocésaine justice et paix (CDJP)"
"1909","Missionnaires du Divin Maître"
"1910","APEC (Association pour la protection de l'enfance  au Congo)"
"1911","ATDL BUKAVU"
"1912","CARITAS Mbandaka"
"1913","EAUR"
"1914","DIOBASS"
"1915","MAAMS"
"1916","APPRONA"
"1917","ISJ"
"1918","AVREO"
"1919","Arche de l'Alliance"
"1920","Handicap Atlas Logistique"
"1921","Kvekerhjelp"
"1922","Life International"
"1923","Djibouti Red Crescent Society"
"1924","Freightco"
"1925","Village Elders Group"
"1926","Somali Community Literacy Center"
"1927","NOOR Dubai"
"1928","World Pharmacists"
"1929","Agility"
"1930","International Medical Support Services"
"1931","CEVA Logistics"
"1932","Digicel Foundation"
"1933","Protos"
"1934","Médecins du Monde Suisse"
"1935","Médecins du Monde Canada"
"1936","FONKOZE"
"1937","EP-Team"
"1938","MapAction"
"1939","Fondasyon Kole Zepol"
"1940","Groupement Ingenieria Estrella"
"1941","Centre d'action pour le dévéloppement"
"1942","InterAct"
"1943","Indesch Patenschaften"
"1944","EQUITAS - International Centre for Human Rights Education"
"1945","Multi-Donor Fund Facility for Disaster Recovery-Indonesia"
"1946","Næringslivets Hovedorganisasjon"
"1947","ERF Recipients"
"1948","Open Doors"
"1949","AMMAN CENTER HUMAN RIGHTS STUDIES"
"1950","RCT"
"1951","World Vision Kenya"
"1952","CARE Kenya"
"1953","Heshima Kenya"
"1954","Archdiocese of Kisumu"
"1955","Catholic Diocese of Kericho"
"1956","Catholic Diocese of Nakuru"
"1957","Diocese of Eldoret"
"1958","Lms Water Systems (France)"
"1959","Netherlands Refugee Foundation"
"1960","FilmAid"
"1961","Verdens Barn"
"1962","Nordic Institute of Asian Studies"
"1963","Human Appeal International"
"1964","Lao Red Cross"
"1965","Arts for Peace	"
"1966","Association Humanitaire AKAMASOA"
"1967","International Fund for Agricultural Development "
"1968","Eng Oppen Hand fir Malawi"
"1969","Coof Bamako"
"1970","Stavanger kommune, Litteraturfestivalen Kapittel06"
"1971","NIRAS"
"1972","Solidarität Dritte Welt"
"1973","EITI - Extractive Industry Transparency Initiative"
"1974","Høgskolen i Oslo"
"1975","Landsforeningen for lesbisk og homofil frigjøring"
"1976","Official Development Assistance"
"1977","Danish Fellowship Centre"
"1978","Cluster Munitions Conference"
"1979","Global Reporting Initiative"
"1980","Responsive"
"1981","Institute of Development Studies"
"1982","CIMIR- Fred Polk"
"1983","TrainAid International"
"1984","International Business Leaders Forum"
"1985","Pakistansk Velferdsorganisasjon Norge"
"1986","Network on Humanitarian Assistance"
"1987","Valid Nutrition"
"1988","Global Humanitarian Forum"
"1989","Stiftelsen for en kritisk og uavhengig presse"
"1990","DryLands Coordination Group"
"1991","The Hebrew University of Jerusalem"
"1992","Den norske Tibet-komite"
"1993","Stichting World Federalist Movement"
"1994","World Conference on Religions for Peace"
"1995","CICERO"
"1996","FONDATION POUR L INSTITUT"
"1997","World Humanitarian Forum"
"1998","International Security Sector Advisory Team"
"1999","IDE Myanmar"
"2000","Mercy Malaysia"
"2001","CARE Myanmar"
"2002","Japan-ASEAN Integration Fund"
"2003","Myanmar Red Cross Society"
"2004","Médecins sans Frontières - Norway"
"2005","PACT Myanmar"
"2006","GAAC"
"2007","Association of Southeast Asian Nations"
"2008","Japanese NGOs"
"2009","Medical Relief Society"
"2010","ActionAid International NEPAL"
"2011","Rural Reconstruction Nepal"
"2012","Himalayan Human Rights Monitors"
"2013","Institute of Human Rights Communication, Nepal "
"2014","Médecins sans Frontières - Luxembourg"
"2015","Rural Centre for Sustainable Development"
"2016","Center for Human Rights and Democratic Participation"
"2017","Norges Fredslag"
"2018","Rahma Islamic Relief Fund"
"2019","Unity and Cooperation for the Development of People"
"2020","Swedish Ecumenical Accompaniment Programme in Palestine and Israel"
"2021","Kjemisk Forbund, Palestinagruppene"
"2022","Paroecia Latina S.Catharinae"
"2023","Palestinian Agricultural Relief Committees"
"2024","Papua New Guinea Red Cross Society"
"2025","New Ireland PDC"
"2026","National Center for the Prevention of HIV/AIDS"
"2027","Social Life and Agricultural Development Organisation"
"2028","SAACID"
"2029","ADRA/SCDO"
"2030","Asal Rural Development Organization"
"2031","Schools Association for Formal Education"
"2032","Somali Education and Health Organisation"
"2033","Water for Life"
"2034","Jubbalandese Charity Centre"
"2035","Mercy-USA for Aid and Development"
"2036","OXFAM International"
"2037","SOLIDAR INGO CONSORTIUM "
"2038","Sewa Lanka Foundation"
"2039","Non Violent Peace Force Sri Lanka "
"2040","Home for Human Rights"
"2041","Norsk tamilsk helse organisasjon"
"2042","Kadugli Interfaith Coalition"
"2043","Klaila Organisation"
"2044","South Sudan Law Society "
"2045","Catholic Diocese of Torit"
"2046","Development and Peace"
"2047","German Development Service"
"2048","Panhealth Care Organization"
"2049","Resident Coordinators Support Office"
"2050","International Aid Hand"
"2051","World Vision Sudan"
"2052","Thirst No More"
"2053","Volunteer Organization for the International Co-operation"
"2054","Sudan Aid"
"2055","Aktion Afrika Hilfe"
"2056","AMURT (Ananda Marga Universal Relief Team) (Switzerland)"
"2057","Almanar Voluntary Organization"
"2058","Assistance Mission Africa"
"2059","Sawaid Health Organization"
"2060","Geneva Institute for Human Rights"
"2061","Focus Humanitarian Assistance"
"2062","Thai National AIDS Foundation"
"2063","Plan Timor-Leste"
"2064","Belun"
"2065","Avocats Sans Frontieres"
"2066","Judicial System Monitoring Programme"
"2067","Ba Futuru / For The Future"
"2068","Togolese Red Cross"
"2069","SANAR YURDATAPAN  - FEA"
"2070","Pentecostal Churches of Uganda"
"2071","IICD - International Institute for Communication and Development"
"2072","Casals and Associates"
"2073","Institute for International Co-operation and Development"
"2074","Visions in Action"
"2075","International Institute of Rural Reconstruction "
"2076","Temele Development Organisation"
"2077","Emergency Action Uganda"
"2078","Youth Alliance in Karamoja"
"2079","African Child Outreach Trust"
"2080","AMURT International"
"2081","Life for Relief and Development"
"2082","Chreso Ministries"
"2083","Misereor"
"2084","Medicos sin Fronteras"
"2085","Stiftung Kasipiti"
"2086","Verein für Aufbauhilfe Tambanevana"
"2087","Linkage Trust"
"2088","ACTIONAID INTERNATIONAL ZIMBABWE"
"2089","United Methodist Church"
"2090","Tromsø Mineskadesenter/Tromsoe Mine Victim Resource Center"
"2091","Global Alliance for Improved Nutrition"
"2092","Afghanistan Landmine Survivors' Organisation"
"2093","FOCUS Humanitarian Aid"
"2094","La ligue démocratique pour les droits de la femme"
"2095","International Press Institute"
"2096","Latter-Day Saint Charities"
"2097","Fundación AMEPBO "
"2098","VISION"
"2099","Africare/Catholic Relief Services"
"2100","Islamic Charity Association"
"2101","Centre de Recherche Santé"
"2102","International Medical Corps UK"
"2103","Islamic Medical Association"
"2104","FAIRMED Foundation"
"2105","Red Cross of Cape Verde"
"2106","Association pour le développement de M'Bres"
"2107","Centre spécialisé d'appui à la promotion et à la modernisation de l'élévage"
"2108","Emergency Architects"
"2109","Christian Blind Mission"
"2110","CHORA"
"2111","HRG Hogg Robinson Nordic AS"
"2112","Funksjonshemmedes fellesorganisasjon"
"2113","Den norske dommerforeningen"
"2114","Fundacion para la Libertad de Prensa"
"2115","North-South Institute"
"2116","Fundación Antonio Restrepo Barco"
"2117","OXFAM Quebec"
"2118","Steps International"
"2119","Centro Integral de Rehabilitación de Colombia"
"2120","Costa Rican Red Cross"
"2121","Ruedi Leuppi Stiftung Elfenbeinküste"
"2122","BDD Kasongo"
"2123","BDC Anglican"
"2124","CARITAS UVIRA"
"2125","PRIMA SYNERGIE"
"2126","Helpage Programme - RD Congo"
"2127","AAP"
"2128","Toyota Gilbratar"
"2129","Developpement & Paix"
"2130","ACF - USA"
"2131","Communaute des Eglises de Pentecote en Afrique"
"2132","Inter-Actions"
"2133","CARITAS DEV GOMA"
"2134","CARITAS DUNGU"
"2135","BDCD"
"2136","Ceilu"
"2137","VAS"
"2138","SC - Caritas"
"2139","Association pour le développement social et la sauvegarde de l’environnement"
"2140","Food for the Hungry "
"2141","International Emergency and Development Aid Relief"
"2142","UN Action Against Sexual Violence in Conflict"
"2143","Heal Africa"
"2144","UniverSud-Liège"
"2145","Enfance Tiers Monde asbl"
"2146","MSZ"
"2147","Plan UK"
"2148","LAG - Latin-Amerikagruppene i Norge"
"2149","Charitable Development Association"
"2150","Caucasus Environmental NGO Network"
"2151","Guatemalan Red Cross "
"2152","L'Agora/Madani Dia"
"2153","Central Social"
"2154","Action Solidarité Tiers Monde"
"2155","Sharjah Charity House"
"2156","Natur Environments & Wildlife Society and Calcutta Foundation"
"2157","Association for Promoting Social Action"
"2158","Indonesian Humanitarian Committee"
"2159","Build Change"
"2160","International Humanitarian Partnership"
"2161","MAPACT"
"2162","Japan Emergency NGO"
"2163","Jordanian Charity Association"
"2164","Wajir South Development Association"
"2165","Pastoralist Integrated Support Programme"
"2166","PCPM - Polish Center for International Aid"
"2167","Frontiers, Ruwad Association"
"2168","Reseau des Entrepreneurs Solidaires"
"2169","SOS Futures Maman"
"2170","Diocese of Gbarnga"
"2171","Arno Kobamaron CBO"
"2172","The Mosaic Religious Community"
"2173","RECSASEC - Regional Centre on Small Arms and Light Weapons"
"2174","Radisson SAS"
"2175","PEN International"
"2176","SHARE"
"2177","Humanitarian Outcomes"
"2178","International Federation of Human Rights"
"2179","Bioforce"
"2180","Tulane University"
"2181","RCN Justice Democratie"
"2182","International Law and Policy Institute"
"2183","Global Compact"
"2184","Farmers Integrated Development Association"
"2185","Sterling Export Corp"
"2186","Child Rights Information Network"
"2187","EU Special Representative"
"2188","University of Oxford - Refugee Studies Centre"
"2189","International Humanitarian City"
"2190","International Cities of Refuge Network"
"2191","Den norske forfatterforening"
"2192","SPHERE"
"2193","Stockholm International Peace Research Institute"
"2194","Human Rights Foundation"
"2195","Coordinating Action on Small Arms"
"2196","Press Emblem Campaign"
"2197","Institutt for Sosiologi og Samfunnsgeografi"
"2198","PIPA"
"2199","Global Network of Civil Society Orgs"
"2200","World Congress Against the Death Penalty"
"2201","Joint Research Centre"
"2202","Global Facility for Disaster Risk Reduction"
"2203","Small Arms Survey"
"2204","International Commission Against Impunity"
"2205","Swisspeace"
"2206","Statens Forurensningstilsyn"
"2207","Survivor Corps"
"2208","International Bank for Reconstruction & Development (World Bank)"
"2209","International Council on Human Rights Policy"
"2210","Forced Migration Review"
"2211","Swiss Campaign to Ban Landmines"
"2212","Periodic Review  - TCG "
"2213","International HIV/AIDS Alliance"
"2214","ISTITUTO OIKOS ONLUS"
"2215","Groupe de Recherche et d'Echanges Technologiques"
"2216","Myanmar Business Coalition on AIDS"
"2217","British Council"
"2218","World Education"
"2219","FAREM"
"2220","Moravian Church"
"2221","American Charities for Palestine"
"2222","Gaza Community Mental Health Programme"
"2223","Development of Palestinian Farmer Association - Deir Albalah"
"2224","Caritas Jerusalem"
"2225","International Islamic Charitable Organization"
"2226","Oxfam Italia"
"2227","Human Concern International"
"2228","Doctors Worldwide"
"2229","Donegal Peace Centre"
"2230","Economic & Social Development Centre of Palestine"
"2231","Arab Medical Equipment and Services Organization"
"2232","Welfare Association"
"2233","Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment"
"2234","National Society for Rehabilitation"
"2235","Youth Development and Voluntary Work Association"
"2236","Palestinian Hydrology Group"
"2237","Muslim Aid and GlobalMedic"
"2238","Committee for the Palestinian Fund"
"2239","Culture and Free Thought Association"
"2240","Treatment and Rehabilitation Centre"
"2241","PEGASE"
"2242","Palestinian Peace Coalition"
"2243","Rabbis for Human Rights"
"2244","Society of Physically Handicapped People"
"2245","Palestinian Farmers Union"
"2246","Industri Energi (fagforbundet)"
"2247","Sharek Youth Forum "
"2248","Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel"
"2249","Agricultural and Environmental Development Society"
"2250","Ma'an"
"2251","Union of Agricultural Work Committees"
"2252","Aramex International"
"2253","World Vision Pakistan"
"2254","Full Gospel Assemblies"
"2255","Khalifa Bin Zyed Al Nehayan Foundation"
"2256","HOPE'87"
"2257","Sarhad Rural Support Programme"
"2258","ChildFund International"
"2259","Scandinavian Children's Mission "
"2260","Auschwitz-Birkenau Foundation"
"2261","The International Barent secretary"
"2262","European Committee for Agriculture and Training"
"2263","Mubarak for Relief and Development Organization"
"2264","Somali Development and Rehabilitation Organisation"
"2265","Women and Children Child Care Organization"
"2266","Active in Development Association"
"2267","African Union Mission in Somalia"
"2268","Al Maktoum Foundation"
"2269","General Service Agency"
"2270","Save Somali Women & Children"
"2271","SPDS"
"2272","KISIMA Peace and Development Organization"
"2273","Center for Peace and Democracy"
"2274","Advancement for Small Enterprise Programme"
"2275","Rahmo Rehabilitation Organisation"
"2276","SOHDO"
"2277","Tanad Relief and Development Organisation"
"2278","CCD"
"2279","Aids Foundation for Children"
"2280","Samoa Red Cross Society"
"2281","Tonga Red Cross Society"
"2282","NGO Fridsro"
"2283","Social Economical Environmental Developers "
"2284","World Vision Sri Lanka"
"2285","PARCIC"
"2286","Japan Agency for Development and Emergency"
"2287","Japan Center for Conflict Prevention"
"2288","Singapore"
"2289","ShelterBox"
"2290","Sewalanka"
"2291","Milinda Moragoda institute for people's empowerment"
"2292","Christian Recovery and Development Agency"
"2293","Mine Action Group"
"2294","Peoples' Organization for Development and Rehabilitation"
"2295","Plan Sudan"
"2296","Agency for Cooperation and Research in Development"
"2297","Millennium Relief and Development"
"2298","Child Development Foundation"
"2299","SANAD Charity Foundation"
"2300","Population Leadership Program, the University of Washington"
"2301","CMS Ireland"
"2302","Rufaida Health Foundation"
"2303","Confident Children out of Conflict"
"2304","Abyei Community Action for Development"
"2305","Association for Aid and Relief Japan"
"2306","Sub-Saharan International Development Organization"
"2307","Sudan Open Learning Organisation"
"2308","Taiwan Red Cross Society"
"2309","Tanzania Red Cross National Society"
"2310","ActionAid-Uganda"
"2311","Soroti Catholic Diocese Integrated Development Organisation"
"2312","Verein Bär und Leu"
"2313","Norsk Vietnamesisk Senter"
"2314","Senter for kunnskap og likestilling, Kvinneuniversitetet Nord"
"2315","Asociacion de Trabajadores y Tecnicos Sin Fronteras"
"2316","Al-Sabeel Foundation for Social Development"
"2317","ACT Alliance / Lutheran Development Service"
"2318","Development Aid from People to People"
"2319","Protracted Relief Programme Partners (Zimbabwe)"
"2320","Catholic Development Commission"
"2321","Integrated Sustainable Livelihoods"
"2322","Africa 2000 Network"
"2323","Malilangwe Trust"
"2324","Sharukhi Rehabilitation Project"
"2325","Nawayee Rehabilitation and Development Organization for Afghan Women"
"2326","Afghan Women Association for Rehabilitation & Development"
"2327","Norwegian Project Office-Rural Rehabilitation Association for Afghanistan"
"2328","Stiftung Deutsche Welthungerhilfe"
"2329","Information Management and Mine Action Programs"
"2330","Afghanistan Development & Educational Organization"
"2331","Zafar Cooperation Organization"
"2332","Service Health Relief Development Organization"
"2333","ACT Alliance"
"2334","Médecins du Monde Greece"
"2335","Bjerknes Centre for Climate Research"
"2336","Bosnia & Herzegovina"
"2337","Fondation Meninos e Meninas de Rua"
"2338","Brazilian Red Cross"
"2339","Fondation Chreschte mam Sahel"
"2340","Future of Orphans"
"2341","ICASE"
"2342","Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR)"
"2343","European Commission Civil Protection Mechanism"
"2344","CPR Savers and First Aid Supply"
"2345","Vamos Adelante"
"2346","Convoy of Hope"
"2347","International Telecommunications Union"
"2348","Walmart Foundation"
"2349","Caritas Switzerland"
"2350","ANGLO AMERICAN PLC"
"2351","Niños de la Tierra"
"2352","FedEx"
"2353","Fundacion Imagina"
"2354","Un Techo Para Mi Pais"
"2355","Pastoral Social"
"2356","Corporacion Opcion Legal"
"2357","Comoros Red Crescent, The"
"2358","Association Locale pour le Développement Intégral"
"2359","CARITAS BUTEMBO"
"2360","CARITAS BUNIA"
"2361","Alpha Ujuvi"
"2362","PAP"
"2363","Appui aux Femmes Démunies et Enfants Marginalisés"
"2364","Centre pour la Promotion de la Sante"
"2365","Actions pour le Developpement Integre en Mileu Rural"
"2366","Caritas Katanga"
"2367","Appui aux Initiatives de Bien Etre Familial"
"2368","BEPROD"
"2369","Groupe La Colombe"
"2370","ACT Alliance / Bread for the World"
"2371","Abraham's Oasis"
"2372","A Call to Serve International"
"2373","Plan Benin"
"2374","Association de soutien aux refugies, aux personnes deplacees et aux detenus"
"2375","Qatar Red Crescent Society"
"2376","Catholic Medical Missons Board"
"2377","World Care"
"2378","Centre d'Enseignement et de Recherche en Action Humanitaire"
"2379","Agronomes et Vétérinaires Sans Frontières"
"2380","Collectif Haïti de France"
"2381","Association Fraternite Universelle"
"2382","International Movement ATD Fourth World"
"2383","Water Missions International"
"2384","Associates in Rural Development"
"2385","Community Foundation of Broward"
"2386","Brother's Brother Foundation"
"2387","Holt International Childrens Services"
"2388","Manitoba Council for International Co-operation"
"2389","Cross International Cathoilc Outreach"
"2390","Kids in Distressed Situations"
"2391","Voila Earthquake Relief Fund"
"2392","Société Générale de Solidarité, S.A."
"2393","11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw"
"2394","Lambi Fund of Haiti"
"2395","Fuel Relief Fund "
"2396","Haitian Women of Miami"
"2397","United Way of Miami-Dade"
"2398","St. Boniface Haiti Foundation"
"2399","St. Damien Hospital"
"2400","Feed My Starving Children"
"2401","International Planned Parenthood Federation Western Hemisphere Region "
"2402","USA Friends of WFP"
"2403","MINUSTAH"
"2404","Operation Helping Hand of Tampa"
"2405","Medishare"
"2406","Clinton Foundation"
"2407","Finca"
"2408","University of Miami"
"2409","MAXIMUS"
"2410","UNICEF National Committee/United Kingdom"
"2411","HumaniTerra International"
"2412","US Fund for UNICEF"
"2413","Yele Haiti Foundation "
"2414","Urgence Rehabilitation et Developpement"
"2415","Apostolic Christian World Relief"
"2416","Feed the Children"
"2417","Haven"
"2418","Associação Saúde em Português"
"2419","Fray Rene Giroux Mission"
"2420","Petits Frères et Soeurs"
"2421","Forward Edge International"
"2422","FIDCON"
"2423","Perspectives pour la Santé et le Développement"
"2424","Hands Together"
"2425","ONGD - FNEL"
"2426","Grant Foundation"
"2427","Planned Parenthood Federation, International"
"2428","Internews Network"
"2429","Reporters Sans Frontières"
"2430","Cumberland Pharmaceuticals Inc"
"2431","Haitian Health Foundation"
"2432","American Institutes for Research"
"2433","United Nations Foundation"
"2434","Meds & Food for Kids"
"2435","RedR UK"
"2436","Hopital Albert Schweitzer"
"2437","Double Harvest"
"2438","British Airways"
"2439","Share our Strength"
"2440","Instituto Dominicano de Desarrollo Integral "
"2441","Global Links"
"2442","GEA Society"
"2443","Family Health International"
"2444","Chaîne du Bonheur"
"2445","Aide à l'Enfance de Canada"
"2446","CARICOM Regional Development Programme"
"2447","Pharmaciens et Aide humanitaire"
"2448","Esperanza International Foundation"
"2449","Entrepreneurs du Monde"
"2450","Floresta Ayiti [Plant With Purpose]"
"2451","All Hands Volunteers (previously Hands On Disaster Response)"
"2452","International Lifeline Fund"
"2453","IRIS KIM, Inc."
"2454","International Emergency and Development Aid"
"2455","Viva Rio"
"2456","Universidad Nacional Autonoma de Honduras"
"2457","Les Amis du Tibet"
"2458","Muhammadiyah"
"2459","Nahdlatul Ulamu"
